#CODE	ENGLISH	GALEGO
EVTOPTA20421	Curse [From.GetHerHim]!	I had traveled to [Root.Location.GetName] to try and help teach the population about the military equipment they have at their disposal, in case they would ever be besieged or if my liege would need to recruit soldiers from the province. But I feel I am getting nowhere...
EVTNAME944	Marshal Discovered	If only something would go my way
EVTDESC944	My liege [Root.Liege.GetTitledName] sent me to [Root.Location.GetName] to assist in the arrest of a local noble.	A chance meeting with a local noble
EVTOPTA944	Hope we'll catch the right noble	On the road to [From.Location.GetName] I met [From.GetTitledName], the Marshal of [From.Liege.GetTitledName]. I knew [From.GetSheHe] would be interested in the military advancements I have done lately. Should I share them with [From.GetHerHim]?
EVTTOOLITP20440	The noble is tipped off	I see no reason why not
EVTDESC20440	[From.GetTitledName] has been seen in [From.Location.GetName] and I am certain [From.GetSheHe] is here for me!	Talk to [This.GetTitledName]
EVTOPTA20440	I can't do anything about this!	I better keep it to myself...
EVTOPTB20440	Minions, prepare for ambush!	I left the soldiers of [Root.Location.GetName] one evening feeling exhausted and world-weary when a local noble, [From.GetTitledName], approached me and told me about the military advancements he had implemented lately. I promised [From.GetHerHim] to use it wisely and not spread the knowledge outside the realm.
EVTTOOLTIP20441	[From.GetTitledName] is ambushed	Such an important discovery must be shared with my liege!
EVTDESC20441	The men attacking me shows no mercy, I try to defend myself as good as I can but there are too many of them!	Send a letter to [Root.Liege.GetTitledName]
EVTOPTA20441	I managed to fend them off but lost a limb!	My liege, good news! During my mission to [From.Location.GetName] I happened to meet the noble [FromFrom.GetTitledName]. After promising [FromFrom.GetHerHim] not to divulge any of the information outside the realm, he decided to share with me some of the military advancements [FromFrom.GetSheHe] had implemented in the last year. Enclosed with this letter is a document describing them in more detail.\n\nYour humble Marshal,\n[From.GetTitledName]
EVTTOOLTIP20442	My liege must be informed of this!	Exciting!
EVTOPTB20441	I managed to flee after they severely wounded me!	Levy Reinforcements
EVTOPTC20441	I fled my attackers but now I see them everywhere!	Since I came to [Root.Location.GetName], we have never had a shortage of soldiers reinforcing our troops.
EVTOPTD20441	Help!	They know that fame and fortune awaits!
EVTTOOLTIP20443	[Root.GetTitledName] is killed by the attackers	Send a letter to my liege
EVTDESC20442	'My liege, I was attacked by...'\nThe blotted paper was nearly unreadable, clearly [From.GetTitledName] wrote the letter just after the attack. As I squinted to try and make out what the Marshal wrote in the letter, some words suddenly becomes clear:	My liege, since I arrived in [From.Location.GetName] there has never been a shortage of soldiers reinforcing the troops stationed there. Under our guidance they believe fame and fortune awaits them.\n\nYour humble Marshal,\n[From.GetTitledName]
EVTOPTA20442	...maimed... ...noble named... Good lord!	Let us hope so
EVTOPTB20442	...wounded... Only wounded!? Pah!	Noble Interferes
EVTOPTC20442	This letter makes [From.GetTitledName] seem paranoid	The levy situation in [Root.Location.GetName] is not entirely hopeless, but close enough. I will do my best to revive the situation and hopefully my liege will see some results soon.
EVTOPTD20442	Nothing happened to [From.GetTitledName]	As long as no one meddles with my plans...
EVTDESC20443	My loyal men managed to kill [From.GetTitledName]! [From.Liege.GetTitledName] will never catch me, but I should pretend as nothing happens and send my condolences to make sure [From.Liege.GetSheHe] believes I had nothing to do with it!	A local noble interferes
EVTOPTA20443	Splendid!	[From.Liege.GetTitledName]'s Marshal, [From.GetTitledName], have been trying to raise more and more levies in [From.Location.GetName]. I can't stand [From.GetHerHim]! Perhaps I should pull some strings and see to it that no more peasants show up for his recruiting meetings?
EVTTOOLTIP20444	[Root.GetTitledName] sends a letter to [From.Liege.GetTitledName]	I will take every chance I get!
EVTDESC20444	My [Root.GetTitle], I am sorry to report the death of your Marshal. My condolences.\n\nYour humble [From.GetTitle]\n[From.GetTitledName]	I better not...
EVTOPTA20444	Okay	My liege, I have bad news from [FromFrom.Location.GetName]. My attempts to increase the province levy has met with nothing but failure and the reason behind this is [From.GetTitledName]! [From.GetSheHeCap] has been nohting but trouble since I arrived and has used [From.GetHerHis] wide influence in [FromFrom.Location.GetName] to hinder all my initiatives.\n\nYour humble Marshal,\n[From.GetTitledName]
emperor	Emperor	Curse [From.GetHerHim]!
king	King	Marshal Discovered
duke	Duke	My liege [Root.Liege.GetTitledName] sent me to [Root.Location.GetName] to assist in the arrest of a local noble.
count	Count	Hope we'll catch the right noble
baron	Baron	The noble is tipped off
count_saxon	Earl	[From.GetTitledName] has been seen in [From.Location.GetName] and I am certain [From.GetSheHe] is here for me!
count_english	Earl	I can't do anything about this!
count_scottish	Earl	Minions, prepare for ambush!
count_irish	Earl	[From.GetTitledName] is ambushed
#count_welsh	Earl	The men attacking me shows no mercy, I try to defend myself as good as I can but there are too many of them!
emperor_female	Empress	I managed to fend them off but lost a limb!
king_female	Queen	My liege must be informed of this!
duke_female	Duchess	I managed to flee after they severely wounded me!
count_female	Countess	I fled my attackers but now I see them everywhere!
baron_female	Baroness	Help!
emperor_king_christian	Emperor-Bishop	[Root.GetTitledName] is killed by the attackers
temple_king_christian	King-Bishop	My liege, I was attacked by...'\nThe blotted paper was nearly unreadable, clearly [From.GetTitledName] wrote the letter just after the attack. As I squinted to try and make out what the Marshal wrote in the letter, some words suddenly becomes clear:
temple_king_orthodox	King-Bishop	...maimed... ...noble named... Good lord!
temple_king_muslim	Caliph	...wounded... Only wounded!? Pah!
#temple_king_pagan_group	Hierophant	This letter makes [From.GetTitledName] seem paranoid
temple_duke_christian	Prince-Archbishop	Nothing happened to [From.GetTitledName]
temple_duke_orthodox	Prince-Archbishop	My loyal men managed to kill [From.GetTitledName]! [From.Liege.GetTitledName] will never catch me, but I should pretend as nothing happens and send my condolences to make sure [From.Liege.GetSheHe] believes I had nothing to do with it!
temple_duke_sunni	Grand Mufti	Splendid!
temple_duke_shiite	Grand Ayatollah	[Root.GetTitledName] sends a letter to [From.Liege.GetTitledName]
temple_duke_pagan_group	Archpriest	My [Root.GetTitle], I am sorry to report the death of your Marshal. My condolences.\n\nYour humble [From.GetTitle]\n[From.GetTitledName]
temple_count_christian	Prince-Bishop	Okay
temple_count_orthodox	Metropolitan	Emperor
temple_count_sunni	Sheikh	King
temple_count_shiite	Ayatollah	Duke
temple_count_pagan_group	High Priest	Count
temple_baron_christian	Bishop	Baron
temple_baron_sunni	Mufti	Earl
temple_baron_shiite	Mullah	Earl
temple_baron_pagan_group	Priest	Earl
temple_baron_tengri_pagan	Shaman	Earl
temple_baron_tengri_pagan_reformed	Shaman	Earl
temple_baron_finnish_pagan	Shaman	Empress
temple_baron_finnish_pagan_reformed	Shaman	Queen
city_emperor	Grand Prince	Duchess
city_king_latin	Serene Doge	Countess
city_king_byzantine	Serene Doge	Baroness
city_king_muslim	Wali-Malik	Emperor-Bishop
city_duke_latin	Doge	King-Bishop
city_duke_byzantine	Doge	King-Bishop
city_duke_muslim	Wali-Emir	Caliph
city_count	Lord Mayor	Hierophant
city_count_muslim	Wali	Prince-Archbishop
city_baron	Mayor	Prince-Archbishop
city_count_female	Lady Mayor	Grand Mufti
city_baron_female	Mayor	Grand Ayatollah
emperor_deed	Crown of	Archpriest
king_deed	Crown of	Prince-Bishop
duke_deed	Crown of	Metropolitan
count_deed	Crown of	Sheikh
baron_deed	Crown of	Ayatollah
city_emperor_deed	Crown of	High Priest
city_king_deed	Crown of	Bishop
city_duke_deed	Crown of	Mufti
city_count_deed	Crown of	Mullah
city_baron_deed	Crown of	Priest
emperor_foa	Your Imperial Majesty	Shaman
king_foa	Your Majesty	Shaman
duke_foa	Your Grace	Shaman
count_foa	My Lord	Shaman
baron_foa	My Lord	Grand Prince
count_foa_female	My Lady	Serene Doge
baron_foa_female	My Lady	Serene Doge
city_emperor_foa	Your Highness	Wali-Malik
city_king_foa	Your Serene Grace	Doge
city_duke_foa	Your Grace	Doge
city_count_foa	Your honor	Wali-Emir
city_baron_foa	Your honor	Lord Mayor
temple_king_foa	Your Holiness	Wali
temple_duke_foa	Your Eminence	Mayor
temple_count_foa	Your Excellency	Crown of
temple_baron_foa	Your Excellency	Crown of
empire_of	Empire of	Crown of
kingdom_of	Kingdom of	Crown of
duchy_of	Duchy of	Crown of
county_of	County of	Crown of
barony_of	Barony of	Crown of
empires	Empires	Crown of
kingdoms	Kingdoms	Crown of
duchies	Duchies	Crown of
counties	Counties	Your Imperial Majesty
baronies	Baronies	Your Majesty
city_empire_of	Principality of	Your Grace
city_kingdom_of	Most Serene Republic of	My Lord
city_duchy_of	Republic of	My Lord
city_county_of	Grand City of	My Lady
city_barony_of	City of	My Lady
temple_kingdom_of_catholic	Theocracy of	Your Highness
temple_kingdom_of_orthodox	Patriarchate of	Your Serene Grace
temple_kingdom_of_muslim	Caliphate of	Your Grace
temple_kingdom_of_pagan_group	Theocracy of	Your honor
temple_kingdom_of_jewish_group	Theocracy of	Your honor
temple_duchy_of_christian	Prince-Archbishopric of	Your Holiness
temple_duchy_of_muslim	Theocracy of	Your Eminence
temple_duchy_of_pagan_group	Theocracy of	Your Excellency
temple_duchy_of_jewish	Theocracy of	Your Excellency
temple_county_of_christian	Prince-Bishopric of	Empire of
temple_county_of_muslim	Sheikhdom of	Kingdom of
temple_county_of_pagan_group	Theocracy of	Duchy of
temple_county_of_jewish_group	Theocracy of	County of
temple_barony_of_christian	Bishopric of	Barony of
temple_barony_of_muslim	Mosque of	Empires
temple_barony_of_pagan_group	Temple of	Kingdoms
temple_barony_of_jewish_group	Temple of	Duchies
emperor_altaic	Khagan	Counties
emperor_female_altaic	Khatun	Baronies
#empire_of_altaic	Khaganate of	Principality of
king_altaic	Khan	Most Serene Republic of
king_female_altaic	Khanum	Republic of
kingdom_of_altaic	Khanate of	Grand City of
emperor_german	Kaiser	City of
emperor_female_german	Kaiserin	Theocracy of
duke_greek	Doux	Patriarchate of
king_greek	Despot	Caliphate of
emperor_greek	Basileus	Theocracy of
emperor_russian	Tsar	Theocracy of
emperor_female_russian	Tsaritsa	Prince-Archbishopric of
baron_arabic	Wâli	Theocracy of
barony_of_arabic	Wilayah of	Theocracy of
count_arabic	Sheikh	Theocracy of
county_of_arabic	Sheikhdom of	Prince-Bishopric of
duke_arabic	Emir	Sheikhdom of
duke_female_arabic	Emira	Theocracy of
duchy_of_arabic	Emirate of	Theocracy of
king_arabic	Sultan	Bishopric of
king_female_arabic	Sultana	Mosque of
kingdom_of_arabic	Sultanate of	Temple of
baron_turkish	Timariot	Temple of
barony_of_turkish	Timar of	Khagan
count_turkish	Bey	Khatun
county_of_turkish	Beylik of	Khaganate of
duke_turkish	Beylerbey	Khan
duchy_of_turkish	Beylerbeylik of	Khanum
king_turkish	Sultan	Khanate of
kingdom_of_turkish	Sultanate of	Kaiser
emperor_turkish	Padishah	Kaiserin
emperor_iranian	Shahanshah	Doux
baron_mongol	Taishi	Despot
barony_of_mongol	Taishi of	Basileus
count_mongol	Chief	Tsar
county_of_mongol	Chiefdom of	Tsaritsa
duke_mongol	High Chief	Wâli
duke_female_mongol	High Chieftess	Wilayah of
duchy_of_mongol	High Chiefdom of	Sheikh
#duke_pagan_group	High Chief	Sheikhdom of
#duke_female_pagan_group	High Chieftess	Emir
duke_norse	Jarl	Emira
count_pagan_group	Chief	Emirate of
baron_pagan_group	Hetman	Sultan
k_sweden	Sweden	Sultana
k_sweden_adj	Swedish	Sultanate of
d_uppland	Uppland	Timariot
d_uppland_adj	Upplander	Timar of
c_uppland_adj	Upplander	Bey
b_sigtuna	Sigtuna	Beylik of
b_uppsala	Uppsala	Beylerbey
b_osteras	Österås	Beylerbeylik of
b_hatuna	Håtuna	Sultan
b_stockholm	Stockholm	Sultanate of
b_enkoping	Enköping	Padishah
b_alsno	Alsnö	Shahanshah
b_vaksala	Vaksala	Taishi
c_vastergotland_adj	West Geatish	Taishi of
b_galakvist	Gälakvist	Chief
b_lodose	Lödöse	Chiefdom of
b_skara	Skara	High Chief
b_falkoping	Falköping	High Chieftess
b_ymseborg	Ymseborg	High Chiefdom of
b_husaby	Husaby	High Chief
b_varnhem	Varnhem	High Chieftess
b_lacko	Läckö	Jarl
b_lena	Lena	Chief
b_skalunda	Skalunda	Hetman
b_lindholmen	Lindholmen	Sweden
b_alvsborg	Älvsborg	Swedish
c_ostergotland_adj	East Geatish	Uppland
b_stegeborg	Stegeborg	Upplander
b_skanninge	Skänninge	Upplander
b_vadstena	Vadstena	Sigtuna
b_linkoping	Linköping	Uppsala
b_norrkoping	Norrköping	Österås
b_soderkoping	Söderköping	Håtuna
b_alvastra	Alvastra	Stockholm
b_vreta	Vreta	Enköping
c_sodermanland_adj	Södermannian	Alsnö
b_nykoping	Nyköping	Vaksala
b_telge	Telge	West Geatish
b_gripsholm	Gripsholm	Gälakvist
b_strangnas	Strängnäs	Lödöse
b_torshalla	Torshälla	Skara
b_eskilstuna	Eskilstuna	Falköping
b_vaderbrunn	Väderbrunn	Ymseborg
b_hundhamra	Hundhamra	Husaby
c_gotland_adj	Gotlander	Varnhem
b_visby	Visby	Läckö
b_visborg	Visborg	Lena
b_geatish_roma	Roma	Skalunda
b_slite	Slite	Lindholmen
b_hejde	Hejde	Älvsborg
b_othem	Othem	East Geatish
b_alva	Alva	Stegeborg
b_hemse	Hemse	Skänninge
c_smaland_adj	Värender	Vadstena
b_piksborg	Piksborg	Linköping
b_aringsas	Aringsås	Norrköping
b_nasborg	Näsborg	Söderköping
b_kronoberg	Kronoberg	Alvastra
b_jonkoping	Jönköping	Vreta
b_vaxjo	Växjö	Södermannian
b_vimmerby	Vimmerby	Nyköping
b_eksjo	Eksjö	Telge
b_hagelsrum	Hagelsrum	Gripsholm
b_vetlanda	Vetlanda	Strängnäs
e_rebels	Rebels	Torshälla
e_rebels_adj	Rebel	Eskilstuna
e_pirates	Pirates	Väderbrunn
e_hre	Holy Roman Empire	Hundhamra
e_hre_adj	Holy Roman	Gotlander
e_byzantium	Byzantine Empire	Visby
e_byzantium_adj	Byzantine	Visborg
e_latin_empire	Latin Empire	Roma
e_latin_empire_adj	Latin	Slite
d_charsianon	Charsianon	Hejde
d_charsianon_adj	Charsianine	Othem
c_kaisereia_adj	Kaisereian	Alva
b_kaisereia	Kaisereia	Hemse
b_misti	Misti	Värender
b_talas	Talas	Piksborg
b_sariz	Sariz	Aringsås
b_masaka	Masaka	Näsborg
b_dobada	Dobada	Kronoberg
b_venessa	Venessa	Jönköping
b_zoropassos	Zoropassos	Växjö
c_galatia_adj	Galatian	Vimmerby
b_mikissos	Mikissos	Eksjö
b_tavia	Tavia	Hagelsrum
b_asponia	Asponia	Vetlanda
b_nyssa	Nyssa	Rebels
b_carissa	Carissa	Rebel
b_kochisar	Kochisar	Pirates
b_karacaviran	Karacaviran	Holy Roman Empire
b_garsaura	Garsaura	Holy Roman
c_tyana_adj	Tyanan	Byzantine Empire
b_tyana	Tyana	Byzantine
b_archelais	Archelais	Latin Empire
b_anatoliaheraklea	Heraklea	Latin
b_nazianus	Nazianus	Charsianon
b_cybistra	Cybistra	Charsianine
b_gamar	Gamar	Kaisereian
b_tomarza	Tomarza	Kaisereia
b_faustinopolis	Faustionopolis	Misti
d_armeniacon	Armeniacon	Talas
d_armeniacon_adj	Armeniaconian	Sariz
c_amisos_adj	Amisosian	Masaka
b_amisos	Amisos	Dobada
b_amasia	Amasia	Venessa
b_thermodon	Thermodon	Zoropassos
b_eupatoria	Eupatoria	Galatian
b_zela	Zela	Mikissos
b_dazimon	Dazimon	Tavia
b_neokaisarea	Neokaisarea	Asponia
b_phadisane	Phadisane	Nyssa
c_sinope_adj	Sinopean	Carissa
b_sinope	Sinope	Kochisar
b_pompeiopolis	Pompeiopolis	Karacaviran
b_germanicopolis	Germanicopolis	Garsaura
b_aboniteichos	Aboniteichos	Tyanan
b_amastris	Amastris	Tyana
b_comana	Comana	Archelais
b_talaura	Talaura	Heraklea
b_themiscyra	Themiscyra	Nazianus
d_paphlagonia	Paphlagonia	Cybistra
d_paphlagonia_adj	Paphlagonian	Gamar
c_paphlagonia_adj	Paphlagonian	Tomarza
b_kastamonu	Castra Comnenus	Faustionopolis
b_anastasiopolis	Anastasiopolis	Armeniacon
b_gangra	Gangra	Armeniaconian
b_safranbolu	Safranbolu	Amisosian
b_cabira	Cabira	Amisos
b_bolu	Bolu	Amasia
b_zaliscus	Zaliscus	Thermodon
b_leontopolis	Leontopolis	Eupatoria
c_herakleia_adj	Herakleian	Zela
b_herakleia	Herakleia	Dazimon
b_claudiopolis	Claudiopolis	Neokaisarea
b_flaviopolis	Flaviopolis	Phadisane
b_polis	Polis	Sinopean
b_bithynium	Bithynium	Sinope
b_zephyropoli	Zephyropoli	Pompeiopolis
b_amastrine	Amastrine	Germanicopolis
b_tium	Tium	Aboniteichos
c_ankyra_adj	Ancyran	Amastris
b_ankyra	Ancyra	Comana
b_germa	Germa	Talaura
b_akroynon	Akroynon	Themiscyra
b_gordium	Gordium	Paphlagonia
b_amorion	Amorion	Paphlagonian
b_gordoservon	Gordoservon	Paphlagonian
b_nakoleia	Nakoleia	Castra Comnenus
b_haymana	Haymana	Anastasiopolis
d_nikaea	Nikaea	Gangra
c_nikaea_adj	Nikaean	Safranbolu
b_nikaea	Nikaea	Cabira
b_kios	Kios	Bolu
b_optimatum	Optimatum	Zaliscus
b_petobriga	Petobriga	Leontopolis
b_kotyaion	Kotyaion	Herakleian
b_palaeokastron	Palaeokastron	Herakleia
b_yalova	Yalova	Claudiopolis
b_modrene	Modrene	Flaviopolis
c_nikomedeia_adj	Nikomedeian	Polis
b_nikomedeia	Nikomedeia	Bithynium
b_chalkedon	Chalkedon	Zephyropoli
b_chrysopolis	Chrysopolis	Amastrine
b_praenetos	Prae	Tium
b_calpe	Calpe	Ancyran
b_palodes	Palodes	Ancyra
b_adapazari	Adapazari	Germa
b_malagina	Malaginan	Akroynon
c_prusa_adj	Prusanian	Gordium
b_prusa	Prusa	Amorion
b_darieium	Darieium	Gordoservon
b_apamea	Apamea	Nakoleia
b_docimium	Docimium	Haymana
b_adrastea	Adrastea	Nikaea
b_thyatira	Thyatira	Nikaean
b_pelopia	Pelopia	Nikaea
b_miletopolis	Miletopolis	Kios
c_kyzikos_adj	Kyzikosian	Optimatum
b_kyzikos	Kyzikos	Petobriga
b_artake	Artake	Kotyaion
b_militopolis	Militopolis	Palaeokastron
b_kremasti	Kremasti	Yalova
b_adrianutherai	Adrianutherai	Modrene
b_myrina	Myrina	Nikomedeian
b_percote	Percote	Nikomedeia
b_arisbe	Arisbe	Chalkedon
d_anatolia	Anatolia	Chrysopolis
d_anatolia_adj	Anatolian	Prae
c_dorylaion_adj	Dorylaionian	Calpe
b_dorylaion	Dorylaion	Palodes
b_pessinus	Pessinus	Adapazari
b_kotiaion	Kotiaion	Malaginan
b_orkistos	Orkistos	Prusanian
b_polybotos	Polybotos	Prusa
b_iustinianopolis	Iustinianopolis	Darieium
b_carura	Carura	Apamea
b_germia	Germia	Docimium
c_ikonion_adj	Ikonionian	Adrastea
b_ikonion	Ikonion	Thyatira
b_lisdra	Lisdra	Pelopia
b_gaspadale	Gaspadale	Miletopolis
b_isauria	Isauria	Kyzikosian
b_laranda	Laranda	Kyzikos
b_terpe	Terpe	Artake
b_amblada	Amblada	Militopolis
b_sauatra	Sauatra	Kremasti
d_thracesia	Thracesia	Adrianutherai
d_thracesia_adj	Thracesian	Myrina
c_sozopolis_adj	Sozopolisian	Percote
b_souzopolis	Sozopolis	Arisbe
b_synnada	Synnada	Anatolia
b_aezani	Aezani	Anatolian
b_cadi	Cado	Dorylaionian
b_polidorion	Polidorion	Dorylaion
b_kelainai	Kelainai	Pessinus
b_dinar	Dinar	Kotiaion
b_isparta	Isparta	Orkistos
c_laodikeia_adj	Laodikeian	Polybotos
b_laodikeia	Laodikeia	Iustinianopolis
b_philadelphia	Philadelphia	Carura
b_rhoas	Rhoas	Germia
b_sardes	Sardes	Ikonionian
b_hieropolis	Hieropolis	Ikonion
b_kona	Kona	Lisdra
b_gordes	Gordes	Gaspadale
b_flaviupolis	Flaviupolis	Isauria
d_samos	Samos	Laranda
d_samos_adj	Samosian	Terpe
c_ephesos_adj	Ephesosian	Amblada
b_ephesos	Ephesos	Sauatra
b_lebedos	Lebedos	Thracesia
b_miletos	Miletos	Thracesian
b_magnesia	Magnesia	Sozopolisian
b_tralles	Tralles	Sozopolis
b_iassos	Iassos	Synnada
b_palation	Palation	Aezani
b_petron	Petron	Cado
c_smyrna_adj	Smyrnan	Polidorion
b_smyrna	Smyrna	Kelainai
b_pergamon	Pergamon	Dinar
b_phokaia	Pholaia	Isparta
b_adramyttion	Adramyttion	Laodikeian
b_chio	Chio	Laodikeia
b_klazomeanai	Klazomeanai	Philadelphia
b_kydonia	Kydonia	Rhoas
b_erythrai	Erythrai	Sardes
c_samos_adj	Samosian	Hieropolis
b_samos	Samos	Kona
b_chios	Chios	Gordes
b_tigani	Tigani	Flaviupolis
b_marathokampos	Marathokampos	Samos
b_ikaria	Ikaria	Samosian
b_fourni	Fourni	Ephesosian
b_chrysostomos	Chrysostomos	Ephesos
b_pagondas	Pagondas	Lebedos
d_aegean_islands	Aegean Islands	Miletos
d_aegean_islands_adj	Aegean	Magnesia
c_abydos_adj	Abydosian	Tralles
b_abydos	Abydos	Iassos
b_lampsakos	Lampsakos	Palation
b_alexandriatroas	Alexandria Troas	Petron
b_pigai	Pigai	Smyrnan
b_aegae	Aegae	Smyrna
b_allianoi	Allianoi	Pergamon
b_cebrene	Cebrene	Pholaia
b_elaia	Elaia	Adramyttion
c_naxos_adj	Naxosian	Chio
b_naxos	Naxos	Klazomeanai
b_hermoupolis	Hermoupolis	Kydonia
b_santorini	Santorini	Erythrai
b_andros	Andros	Samosian
b_tinos	Tinos	Samos
b_mykonos	Mykonos	Chios
b_kastraki	Kastraki	Tigani
b_filoti	Filoti	Marathokampos
c_euboia_adj	Euboian	Ikaria
b_chalkis	Chalkis	Fourni
b_kymi	Kými	Chrysostomos
b_karystos	Karystos	Pagondas
b_oreoi	Oreoi	Aegean Islands
b_artemisio	Artemisio	Aegean
b_istiaia	Istiaia	Abydosian
b_lilantia	Lilantia	Abydos
b_messapia	Messapia	Lampsakos
c_lesbos_adj	Lesbosian	Alexandria Troas
b_mytilene	Mytilene	Pigai
b_mithymna	Mithymna	Aegae
b_plomari	Plomari	Allianoi
b_agiasos	Agiasos	Cebrene
b_eresos	Eresos	Elaia
b_kalloni	Kalloni	Naxosian
b_thasos	Thasos	Naxos
b_moudros	Moudros	Hermoupolis
d_thrace	Thrace	Santorini
d_thrace_adj	Thracian	Andros
c_kaliopolis_adj	Kaliopolisian	Tinos
b_gallipoli	Gallipoli	Mykonos
b_heraclea	Heraclea	Kastraki
b_madyta	Madyta	Filoti
b_rhaidestos	Rhaidestos	Euboian
b_panidos	Panidos	Chalkis
b_selymbria	Selymbria	Kými
b_lysimachia	Lysimachia	Karystos
b_sestus	Sestus	Oreoi
b_constantinople	Constantinople	Artemisio
b_hagiasophia	Constantinople	Istiaia
b_galata	Galata	Lilantia
b_blachernae	Blachernae	Messapia
b_hieron	Hieron	Lesbosian
b_deuteron	Deuteron	Mytilene
b_pempton	Pempton	Mithymna
b_vlanga	Vlanga	Plomari
c_thrake_adj	Thrakeian	Agiasos
b_verissa	Verissa	Eresos
b_syrallum	Syrallum	Kalloni
b_salmydessus	Salmydessus	Thasos
b_deleus	Deleus	Moudros
b_aulaeitichus	Aulaeitichus	Thrace
b_phinopolis	Phinopolis	Thracian
b_sestos	Sestos	Kaliopolisian
b_chariopolis	Chariopolis	Gallipoli
d_adrianopolis	Adrianopolis	Heraclea
d_adrianopolis_adj	Adrianopolitan	Madyta
c_adrianopolis_adj	Adrianopolitan	Rhaidestos
b_adrianopolis	Adrianopolis	Panidos
b_didymoteichon	Didymoteichon	Selymbria
b_traianopolis	Traianopolis	Lysimachia
b_skalothe	Skalothe	Sestus
b_berat	Berat	Constantinople
b_kypsela	Kypsela	Constantinople
b_demotika	Demotika	Galata
b_ainos	Ainos	Blachernae
c_philippopolis_adj	Philippopolisian	Hieron
b_philippopolis	Philippopolis	Deuteron
b_xantheia	Xantheia	Pempton
b_klokoknitsa	Klokoknitsa	Vlanga
b_prodromos	Prodromos	Thrakeian
b_peritheorion	Peritheorion	Verissa
b_anaktoropolis	Anaktoropolis	Syrallum
b_polystylon	Polystylon	Salmydessus
b_mosynopolis	Mosynopolis	Deleus
d_thessalonika	Thessalonika	Aulaeitichus
d_thessalonika_adj	Thessalonian	Phinopolis
c_chalkidike_adj	Chalkidikian	Sestos
b_serres	Serres	Chariopolis
b_mntathos	Mount Athos	Adrianopolis
b_philippi	Philippi	Adrianopolitan
b_chrysiopolis	Chrysiopolis	Adrianopolitan
b_siderokastron	Siderokastron	Adrianopolis
b_zicna	Zicna	Didymoteichon
b_melnik	Melnik	Traianopolis
b_drama	Drama	Skalothe
c_thessalonike_adj	Thessalonikian	Berat
b_thessaloniki	Thessaloniki	Kypsela
b_thesedessa	Edessa	Demotika
b_voden	Voden	Ainos
b_hlerin	Hlerin	Philippopolisian
b_cemren	Cemren	Philippopolis
b_veria	Veria	Xantheia
b_elasson	Elasson	Klokoknitsa
b_servia	Servia	Prodromos
c_thessalia_adj	Thessalian	Peritheorion
b_larissa	Larissa	Anaktoropolis
b_volos	Volos	Polystylon
b_neopetra	Neopetra	Mosynopolis
b_damasis	Damasis	Thessalonika
b_kastri	Kastri	Thessalonian
b_pharsalos	Pharsalos	Chalkidikian
b_trikkala	Trikkala	Serres
b_stagi	Stagi	Mount Athos
d_dyrrachion	Dyrrachion	Philippi
d_dyrrachion_adj	Dyrrachian	Chrysiopolis
c_strymon_adj	Strymonian	Siderokastron
b_skopje	Skopje	Zicna
b_strumica	Strumica	Melnik
b_veles	Veles	Drama
b_prilep	Prilep	Thessalonikian
b_prosek	Prosek	Thessaloniki
b_trikves	Trikves	Edessa
b_kocane	Kocane	Voden
b_kratovo	Kratovo	Hlerin
c_ochrid_adj	Ochridian	Cemren
b_ohrid	Ohrid	Veria
b_debar	Debar	Elasson
b_kastoria	Kastoria	Servia
b_kicevo	Kicevo	Thessalian
b_svetigrad	Svetigrad	Larissa
b_bitola	Bitola	Volos
b_tomot	Tomot	Neopetra
b_krusevo	Krusevo	Damasis
c_dyrrachion_adj	Dyrrachian	Kastri
b_durazzo	Durrës	Pharsalos
b_chounavia	Chounavia	Trikkala
b_valona	Valona	Stagi
b_kruje	Krujë	Dyrrachion
b_elbasan	Elbasan	Dyrrachian
b_geziq	Gëziq	Strymonian
b_spinarizza	Spinarizza	Skopje
b_beat	Beat	Strumica
d_epirus	Epirus	Veles
d_epirus_adj	Epirotian	Prilep
c_epeiros_adj	Epirotian	Prosek
b_butrint	Butrint	Trikves
b_paramythia	Paramythia	Kocane
b_ioannina	Ioannina	Kratovo
b_sopot	Sopot	Ochridian
b_pogonia	Pogonia	Ohrid
b_gjirokaster	Gjirokastër	Debar
b_igoumenitsa	Igoumenitsa	Kastoria
b_sagiada	Sagiada	Kicevo
c_arta_adj	Artan	Svetigrad
b_preveza	Preveza	Bitola
b_angelokastron	Angelokastron	Tomot
b_arta	Arta	Krusevo
b_agnanta	Agnanta	Dyrrachian
b_thomokastron	Thomokastron	Durrës
b_vonitsza	Vonitsza	Chounavia
b_vlacherna	Vlacherna	Valona
b_rogoi	Rogoi	Krujë
c_cephalonia_adj	Phaeacians	Elbasan
b_corfu	Corfu	Gëziq
b_lefkas	Lefkas	Spinarizza
b_palaiofrourio	Palaio Frourio	Beat
b_kefalonia	Kefalonia	Epirus
b_zante	Zante	Epirotian
b_paxos	Paxos	Epirotian
b_ithaca	Ithaca	Butrint
b_cerigo	Cerigo	Paramythia
d_athens	Athens	Ioannina
d_athens_adj	Athenian	Sopot
c_demetrias_adj	Demetrian	Pogonia
b_thebes	Thebes	Gjirokastër
b_lebadea	Lebadea	Igoumenitsa
b_neopatras	Neopatras	Sagiada
