#CODE	ENGLISH	ENGLISH
#TITLE_CREATION_HAS_OWNER	You are not allowed to create or usurp titles while you hold a Temporary title	You are not allowed to create or usurp titles while you hold a Temporary title
STAT_PIETY_DESC_PURITY	Purity is respected by the clergy and monks of the Jain religion, and also affects the loyalty of your Jain vassals. Like Prestige, it is added to your score on the death of a ruler.	Purity is respected by the clergy and monks of the Jain religion, and also affects the loyalty of your Jain vassals. Like Prestige, it is added to your score on the death of a ruler.
MONTHLY_PIETY_PURITY	Monthly Purity Increase	Monthly Purity Increase
SPECIAL_TROOPS	Special Units	Convert to Hinduism
horse_archers	Horse Archers	The pillow talk of a spouse or concubine can be very persuasive. The ancient Hindu tradition with its many powerful gods is surely the the way forward...
EVTDESC_RoI_1000	To properly celebrate the seasonal feast, you should invite all your vassals. You have your scribe write the letters and send them off, the messengers' satchels decorated with flowers.	Convert to Buddhism
EVTOPTA_RoI_1000	It will be a grand feast!	The pillow talk of a spouse or concubine can be very persuasive. Enlightenment and understanding as the way to end our suffering, it sounds very sensible...
EVTTOOLTIP1_RoI_1000	Invitations are sent.	Convert to Jain
EVTDESC_RoI_1001	Dear vassal,\nI hereby invite you to attend my celebration of the feast of Diwali.\n\nYour Liege,\n[From.GetFullName]	The pillow talk of a spouse or concubine can be very persuasive. Conquering my own mind and seeking ultimate purity is surely the one true way to liberation...
EVTOPTA_RoI_1001	Of course I shall attend!	Special Units
EVTOPTB_RoI_1001	I don't have the time.	Horse Archers
EVTDESC_RoI_1940	Dear vassal,\nI hereby invite you to attend my celebration of the feast of Kali Puja.\n\nYour Liege,\n[From.GetFullName]	To properly celebrate the seasonal feast, you should invite all your vassals. You have your scribe write the letters and send them off, the messengers' satchels decorated with flowers.
EVTOPTA_RoI_1940	Of course I shall attend!	It will be a grand feast!
EVTOPTB_RoI_1940	I don't have the time.	Invitations are sent.
EVTDESC_RoI_1002	Your vassal, [From.GetFullName], has refused your invitation to the feast.	Dear vassal,\nI hereby invite you to attend my celebration of the feast of Diwali.\n\nYour Liege,\n[From.GetFullName]
EVTOPTA_RoI_1002	I shall remember this...	Of course I shall attend!
EVTDESC_RoI_1005	In the Indian autumn feasts, tradition dictates that you offer a gift to your spouse. You should plan for this and buy something before the feast begins.	I don't have the time.
EVTOPTA_RoI_1005	A jeweled necklace would be perfect!	Dear vassal,\nI hereby invite you to attend my celebration of the feast of Kali Puja.\n\nYour Liege,\n[From.GetFullName]
EVTOPTB_RoI_1005	Perhaps a small perfume box or something.	Of course I shall attend!
EVTOPTC_RoI_1005	She can do without gifts.	I don't have the time.
EVTOPTD_RoI_1005	I will spend money on my lover instead...	Your vassal, [From.GetFullName], has refused your invitation to the feast.
EVTOPTE_RoI_1005	A magnificent horse would please him!	I shall remember this...
EVTOPTF_RoI_1005	A nice cape or something will be enough.	In the Indian autumn feasts, tradition dictates that you offer a gift to your spouse. You should plan for this and buy something before the feast begins.
EVTOPTG_RoI_1005	He can do without gifts.	A jeweled necklace would be perfect!
EVTOPTH_RoI_1005	I will spend money on my lover instead...	Perhaps a small perfume box or something.
EVTDESC_RoI_1006	In accordance with tradition, you may offer a gift to your lover during the autumn feast.	She can do without gifts.
EVTOPTA_RoI_1006	I'll buy her expensive jewelry.	I will spend money on my lover instead...
EVTOPTB_RoI_1006	A small box of perfume will do.	A magnificent horse would please him!
EVTOPTC_RoI_1006	She can do without gifts.	A nice cape or something will be enough.
EVTOPTD_RoI_1006	I will buy him a magnificent horse!	He can do without gifts.
EVTOPTE_RoI_1006	This nice cape should do fine.	I will spend money on my lover instead...
EVTOPTF_RoI_1006	He can do without gifts.	In accordance with tradition, you may offer a gift to your lover during the autumn feast.
EVTDESC_RoI_1007	At the feast, it's time for the traditional ceremony of gifts...	I'll buy her expensive jewelry.
EVTOPTA_RoI_1007	My wife is overjoyed with the magnificent gift!	A small box of perfume will do.
EVTOPTB_RoI_1007	My wife is pleased with her gift.	She can do without gifts.
EVTOPTC_RoI_1007	My wife is upset because I didn't get her anything.	I will buy him a magnificent horse!
EVTOPTD_RoI_1007	My lover is overjoyed with her gift! My wife is not happy, though...	This nice cape should do fine.
EVTOPTE_RoI_1007	My lover is overjoyed with her gift!	He can do without gifts.
EVTOPTF_RoI_1007	My lover is pleased with her gift. My wife is not happy, though...	At the feast, it's time for the traditional ceremony of gifts...
EVTOPTG_RoI_1007	My lover is pleased with her gift.	My wife is overjoyed with the magnificent gift!
EVTOPTH_RoI_1007	My lover is disappointed because I didn't get her anything.	My wife is pleased with her gift.
EVTOPTI_RoI_1007	My husband is overjoyed with the magnificent gift!	My wife is upset because I didn't get her anything.
EVTOPTJ_RoI_1007	My husband is pleased with his gift.	My lover is overjoyed with her gift! My wife is not happy, though...
EVTOPTK_RoI_1007	My husband is upset because I didn't get him anything.	My lover is overjoyed with her gift!
EVTOPTL_RoI_1007	My lover is overjoyed with his gift! But my husband isn't happy...	My lover is pleased with her gift. My wife is not happy, though...
EVTOPTM_RoI_1007	My lover is overjoyed with his gift!	My lover is pleased with her gift.
EVTOPTN_RoI_1007	My lover is pleased with his gift. But my husband isn't happy...	My lover is disappointed because I didn't get her anything.
EVTOPTO_RoI_1007	My lover is pleased with his gift.	My husband is overjoyed with the magnificent gift!
EVTOPTP_RoI_1007	My lover is disappointed because I didn't get him anything.	My husband is pleased with his gift.
EVTDESC_RoI_1020	The castle is decorated with flowers and colorful tapestries, carpets and ribbons. All the guests have arrived, there is a bustle of people all eager and full of festive spirit. It's time for the feast to begin!	My husband is upset because I didn't get him anything.
EVTOPTA_RoI_1020	Welcome, all!	My lover is overjoyed with his gift! But my husband isn't happy...
EVTDESC_RoI_1996	The feast is over, but it was a fantastic feast. As the guests make their way home you sit down and smile to yourself, pleased at how things turned out.	My lover is overjoyed with his gift!
EVTOPTA_RoI_1996	I should do this again next year!	My lover is pleased with his gift. But my husband isn't happy...
EVTDESC_RoI_1997	The feast is over, but it didn't quite turn out as you had hoped. As the guests make their way home, you sit down and ponder what went wrong.	My lover is pleased with his gift.
EVTOPTA_RoI_1997	Maybe next time it will be better.	My lover is disappointed because I didn't get him anything.
EVTDESC_RoI_1998	The feast is over, but it was a fantastic feast. As you make your way home, you think that you'd probably come back next year again if invited.	The castle is decorated with flowers and colorful tapestries, carpets and ribbons. All the guests have arrived, there is a bustle of people all eager and full of festive spirit. It's time for the feast to begin!
EVTOPTA_RoI_1998	I had a great time!	Welcome, all!
EVTDESC_RoI_1999	The feast is over, but certain unfortunate events prevented you from enjoying it fully. As you make your way home, you ponder the ups and downs of life.	The feast is over, but it was a fantastic feast. As the guests make their way home you sit down and smile to yourself, pleased at how things turned out.
EVTOPTA_RoI_1999	Oh well.	I should do this again next year!
EVTDESC_RoI_1050	A snake charmer is entertaining the guests at the feast. He plays a flute and sings in odd tones to various poisonous snakes that he has brought in a basket. The audience is held captivated by his skills as he seemingly controls the snakes with his voice and his music.	The feast is over, but it didn't quite turn out as you had hoped. As the guests make their way home, you sit down and ponder what went wrong.
EVTOPTA_RoI_1050	Fascinating!	Maybe next time it will be better.
EVTDESC_RoI_1051	There is a silence among the revellers as the snake charmer works his magic with the snakes. But suddenly you hear a high shriek, and the snake charmer looks confused - it seems a large cobra has broken free and is slithering across the floor towards the guests!	The feast is over, but it was a fantastic feast. As you make your way home, you think that you'd probably come back next year again if invited.
EVTOPTA_RoI_1051	Oh no!	I had a great time!
EVTDESC_RoI_1052	The escaped cobra disappears under the table. There are a few moments of silence, and then a shrill shriek. The cobra has slithered up into the lap of one of the guests, scaring the person half to death! The snake, then quickly disappears out through an open window.	The feast is over, but certain unfortunate events prevented you from enjoying it fully. As you make your way home, you ponder the ups and downs of life.
EVTOPTA_RoI_1052	We're not hiring this snake charmer again.	Oh well.
EVTDESC_RoI_1053	A snake charmer is entertaining the guests at the feast. He plays a flute and sings in odd tones to various poisonous snakes that he has brought in a basket. Then, suddenly you feel something cold and slithery moving in your lap...	A snake charmer is entertaining the guests at the feast. He plays a flute and sings in odd tones to various poisonous snakes that he has brought in a basket. The audience is held captivated by his skills as he seemingly controls the snakes with his voice and his music.
EVTOPTA_RoI_1053	Aaargh! A cobra!!	Fascinating!
EVTDESC_RoI_1054	The escaped cobra disappears under the table. There are a few moments of silence, and then a terrified scream. One of the guests is shaking in violent convulsions, with people nearby staring in shock as they realize the snake has bitten their neighbor. As the snake disappears out through an open window, the victim stops shaking and lies still, dead.	There is a silence among the revellers as the snake charmer works his magic with the snakes. But suddenly you hear a high shriek, and the snake charmer looks confused - it seems a large cobra has broken free and is slithering across the floor towards the guests!
EVTOPTA_RoI_1054	Woe!	Oh no!
EVTDESC_RoI_1055	The escaped cobra slithers across the floor. The guests at the table seem paralyzed, except for one person who quickly draws his sword and steps forward, chopping the animal in half with a swift cut.	The escaped cobra disappears under the table. There are a few moments of silence, and then a shrill shriek. The cobra has slithered up into the lap of one of the guests, scaring the person half to death! The snake, then quickly disappears out through an open window.
EVTOPTA_RoI_1055	Well done!	We're not hiring this snake charmer again.
EVTDESC_RoI_1056	A snake charmer is entertaining the guests at the feast, until suddenly a cobra escapes! You quickly draw your sword and step forward, chopping the animal in half with a swift cut.	A snake charmer is entertaining the guests at the feast. He plays a flute and sings in odd tones to various poisonous snakes that he has brought in a basket. Then, suddenly you feel something cold and slithery moving in your lap...
EVTOPTA_RoI_1056	Don't try this at home, folks.	Aaargh! A cobra!!
EVTTITLE_RoI_1060	The Duel	The escaped cobra disappears under the table. There are a few moments of silence, and then a terrified scream. One of the guests is shaking in violent convulsions, with people nearby staring in shock as they realize the snake has bitten their neighbor. As the snake disappears out through an open window, the victim stops shaking and lies still, dead.
EVTDESC_RoI_1060	That person over there has been looking at you in a funny way during the entire feast. Laughing, thinking evil thoughts about you. You have tried putting goat's cheese in your hair to ward it off, but still his scheming ways threaten you. He wants to take your gold. And your undergarments.	Woe!
EVTOPTA_RoI_1060	A duel! I will tear his brain from his skull!	The escaped cobra slithers across the floor. The guests at the table seem paralyzed, except for one person who quickly draws his sword and steps forward, chopping the animal in half with a swift cut.
EVTOPTB_RoI_1060	No time now, I must frolic. I must frolic.	Well done!
EVTDESC_RoI_1061	The voices in your head have spoken. The pressure rises, you must see blood flow tonight or you will go insane. Anyone at the table of the feast will do - ah, that one!	A snake charmer is entertaining the guests at the feast, until suddenly a cobra escapes! You quickly draw your sword and step forward, chopping the animal in half with a swift cut.
EVTOPTA_RoI_1061	You, scum! I challenge you to a duel!	Don't try this at home, folks.
EVTOPTB_RoI_1061	Now is not the time... I must breathe...	The Duel
EVTDESC_RoI_1062	A fellow guest at the feast, mindless of his manners, has repeatedly turned his back on you and now he spilled sauce on your garments. You are certain it was on purpose - or at least you're not certain it wasn't.	That person over there has been looking at you in a funny way during the entire feast. Laughing, thinking evil thoughts about you. You have tried putting goat's cheese in your hair to ward it off, but still his scheming ways threaten you. He wants to take your gold. And your undergarments.
EVTOPTA_RoI_1062	Enough! I challenge you to a duel, Sir!	A duel! I will tear his brain from his skull!
EVTOPTB_RoI_1062	No, this is not the right time.	No time now, I must frolic. I must frolic.
EVTDESC_RoI_1063	You are enjoying a fantastic show of dancers at the feast. Suddenly, a fellow reveller accidentally bumps into you, knocking your drink out of your hand.	The voices in your head have spoken. The pressure rises, you must see blood flow tonight or you will go insane. Anyone at the table of the feast will do - ah, that one!
EVTOPTA_RoI_1063	Grab him and challenge him to a duel!	You, scum! I challenge you to a duel!
EVTOPTB_RoI_1063	Take your rage out on the furniture.	Now is not the time... I must breathe...
EVTDESC_RoI_1064	That man who has been staring at you several times during the feast is surely plotting to murder you. Better to fight him here in the open than him sticking a knife in your back later.	A fellow guest at the feast, mindless of his manners, has repeatedly turned his back on you and now he spilled sauce on your garments. You are certain it was on purpose - or at least you're not certain it wasn't.
EVTOPTA_RoI_1064	You! I challenge you to a duel!	Enough! I challenge you to a duel, Sir!
EVTOPTB_RoI_1064	On second thought, I may be imagining things.	No, this is not the right time.
EVTDESC_RoI_1065	What a great feast! You have been drinking heavily for several days, only pausing to sleep (but not much). You are wandering around the grounds, not exactly sure where you are. You excuse yourself to people as you bump into them.\n\nYou have the servants fetch you another drink. What day is it? It seems you are wearing someone else's clothes. How funny! Someone tells you to calm down, how annoying. Someone else wants their clothes back, now they're shouting and threatening.	You are enjoying a fantastic show of dancers at the feast. Suddenly, a fellow reveller accidentally bumps into you, knocking your drink out of your hand.
EVTOPTA_RoI_1065	What the... I'll kill you, party spoilers!	Grab him and challenge him to a duel!
EVTOPTB_RoI_1065	Come now, let's calm down and have a drink...	Take your rage out on the furniture.
EVTDESC_RoI_1066	A fellow guest at the feast, clearly out of his mind, has challenged you to a duel. It seems to you there is no good reason, and duels can be very dangerous, but backing down might still make you look weak.	That man who has been staring at you several times during the feast is surely plotting to murder you. Better to fight him here in the open than him sticking a knife in your back later.
EVTOPTA_RoI_1066	I accept! You will regret this.	You! I challenge you to a duel!
EVTOPTB_RoI_1066	No, this is crazy. Go away.	On second thought, I may be imagining things.
EVTDESC_RoI_1067	Your intended opponent refuses to duel with you.	What a great feast! You have been drinking heavily for several days, only pausing to sleep (but not much). You are wandering around the grounds, not exactly sure where you are. You excuse yourself to people as you bump into them.\n\nYou have the servants fetch you another drink. What day is it? It seems you are wearing someone else's clothes. How funny! Someone tells you to calm down, how annoying. Someone else wants their clothes back, now they're shouting and threatening.
EVTOPTA_RoI_1067	I will eat your brain later, coward!	What the... I'll kill you, party spoilers!
EVTOPTB_RoI_1067	But the voices...	Come now, let's calm down and have a drink...
EVTOPTC_RoI_1067	Ah, I see, you are a coward.	A fellow guest at the feast, clearly out of his mind, has challenged you to a duel. It seems to you there is no good reason, and duels can be very dangerous, but backing down might still make you look weak.
EVTOPTD_RoI_1067	Curses!	I accept! You will regret this.
EVTOPTE_RoI_1067	You do this to spite me!	No, this is crazy. Go away.
EVTDESC_RoI_1068	Tension runs high at the feast. [From.GetTitlesName] has challenged [FromFrom.GetTitledName]to a duel, but the latter chose to back down, doing some injury to his prestige.	Your intended opponent refuses to duel with you.
EVTOPTA_RoI_1068	It's good that bloodshed was avoided.	I will eat your brain later, coward!
EVTOPTB_RoI_1068	Shame, it would have livened up the feast.	But the voices...
EVTDESC_RoI_1069	The guests at the feast gather around to see the duel between you and [FromFrom.GetFullName]. As the challenged party, you have the right to choose which weapon shall be used in the duel.	Ah, I see, you are a coward.
EVTOPTA_RoI_1069	Swords	Curses!
EVTOPTB_RoI_1069	Daggers	You do this to spite me!
EVTOPTC_RoI_1069	Spears	Tension runs high at the feast. [From.GetTitlesName] has challenged [FromFrom.GetTitledName ]to a duel, but the latter chose to back down, doing some injury to his prestige.
EVTDESC_RoI_1070	[From.GetFullName] has accepted your challenge and there will be a duel. As the challenged party, your opponent may choose what weapons will be used and he has chosen swords. The other guests at the feast gather around to see you fight.	It's good that bloodshed was avoided.
EVTOPTA_RoI_1070	Fetch me my sword, then.	Shame, it would have livened up the feast.
EVTDESC_RoI_1071	[From.GetFullName] has accepted your challenge and there will be a duel. As the challenged party, your opponent may choose what weapons will be used and he has chosen daggers. The other guests at the feast gather around to see you fight.	The guests at the feast gather around to see the duel between you and [FromFrom.GetFullName]. As the challenged party, you have the right to choose which weapon shall be used in the duel.
EVTOPTA_RoI_1071	Fetch me my dagger, then.	Swords
EVTDESC_RoI_1072	[From.GetFullName] has accepted your challenge and there will be a duel. As the challenged party, your opponent may choose what weapons will be used and he has chosen spears. The other guests at the feast gather around to see you fight.	Daggers
EVTOPTA_RoI_1072	Fetch me my spear, then.	Spears
EVTDESC_RoI_1073	The duel is about to start. But first, there is one thing that remains for you to decide: will you fight honorably or fight dirty? The latter choice will obviously increase your chances, but there is a large crowd watching and they will see everything that happens.	[From.GetFullName] has accepted your challenge and there will be a duel. As the challenged party, your opponent may choose what weapons will be used and he has chosen swords. The other guests at the feast gather around to see you fight.
EVTOPTA_RoI_1073	My honor is my strength.	Fetch me my sword, then.
EVTOPTB_RoI_1073	Only idiots fight fair.	[From.GetFullName] has accepted your challenge and there will be a duel. As the challenged party, your opponent may choose what weapons will be used and he has chosen daggers. The other guests at the feast gather around to see you fight.
EVTDESC_RoI_1075	The duel commences. You begin to circle around each other, both of you observing the other closely and feinting to try and gauge the skill of the opponent. Then suddenly, steel flashes and there is a flurry of attacks and counterattacks. Gasps of terror and of delight are heard from the audience, mixing with the curses and grunts from the duelists and the sound of clashing steel...	Fetch me my dagger, then.
EVTOPTA_RoI_1075	Concentration...	[From.GetFullName] has accepted your challenge and there will be a duel. As the challenged party, your opponent may choose what weapons will be used and he has chosen spears. The other guests at the feast gather around to see you fight.
#EVTDESC_RoI_1951	Tempers flare at the feast! [FromFrom.GetFullName] has challenged [From.GetFullName] to a duel and they are already armed and beginning the fight.\n\nBoth combatants begin to circle around each other, each observing the other closely and feinting to try and gauge the skill of the opponent. Then suddenly, steel flashes and there is a flurry of attacks and counterattacks. Gasps of terror and of delight are heard from the audience, mixing with the curses and grunts from the duelists and the sound of clashing steel...	Fetch me my spear, then.
EVTOPTA_RoI_1951	Let's hope no one gets killed.	The duel is about to start. But first, there is one thing that remains for you to decide: will you fight honorably or fight dirty? The latter choice will obviously increase your chances, but there is a large crowd watching and they will see everything that happens.
EVTOPTB_RoI_1951	I hope we'll see some blood!	My honor is my strength.
#EVTDESC_RoI_1080	The duel is over. [From.GetFullName] lost but he suffered only minor wounds.	Only idiots fight fair.
EVTOPTA_RoI_1080	All is well.	The duel commences. You begin to circle around each other, both of you observing the other closely and feinting to try and gauge the skill of the opponent. Then suddenly, steel flashes and there is a flurry of attacks and counterattacks. Gasps of terror and of delight are heard from the audience, mixing with the curses and grunts from the duelists and the sound of clashing steel...
EVTOPTB_RoI_1080	He gave in too easily!	Concentration...
#EVTDESC_RoI_1081	The duel is over. [From.GetFullName] lost and lies wounded on the ground.	Tempers flare at the feast! [FromFrom.GetFullName] has challenged [From.GetFullName] to a duel and they are already armed and beginning the fight.\n\nBoth combatants begin to circle around each other, each observing the other closely and feinting to try and gauge the skill of the opponent. Then suddenly, steel flashes and there is a flurry of attacks and counterattacks. Gasps of terror and of delight are heard from the audience, mixing with the curses and grunts from the duelists and the sound of clashing steel...
EVTOPTA_RoI_1081	He fought well.	Let's hope no one gets killed.
#EVTDESC_RoI_1082	The duel is over. [From.GetFullName] lost and was horribly maimed.	I hope we'll see some blood!
#EVTDESC_RoI_1083	The duel is over. [From.GetFullName] was killed!	The duel is over. [From.GetFullName] lost but he suffered only minor wounds.
EVTDESC_RoI_1100	[From.GetTitled.FirstName] feints right, then goes left and catches you with a diagonal upwards swing of his sword, sending you staggering backwards into the wall. Bleeding, you fall to the floor. You have lost the duel.	All is well.
EVTOPTA_RoI_1100	Luckily, I am only slightly injured.	He gave in too easily!
EVTOPTB_RoI_1100	I have been wounded!	The duel is over. [From.GetFullName] lost and lies wounded on the ground.
EVTOPTC_RoI_1100	I have been maimed!	He fought well.
EVTOPTD_RoI_1100	I feel I may be mortally wounded...	The duel is over. [From.GetFullName] lost and was horribly maimed.
EVTDESC_RoI_1101	You slash at [From.GetTitled.FirstName], but you miss and leave an opening. He exploits this, grabbing you by the collar and pulling you towards him while stabbing upwards with his dagger. The dagger hits its mark and you fall to the floor, bleeding. You have lost the duel.	The duel is over. [From.GetFullName] was killed!
EVTDESC_RoI_1102	You lunge at [From.GetTitled.FirstName], but he dodges and then kicks you in the side, unbalancing you. He takes a quick step forward and then thrusts his spear at your chest. He strikes true and you fall to the floor, bleeding. You have lost the duel.	[From.GetTitled.FirstName] feints right, then goes left and catches you with a diagonal upwards swing of his sword, sending you staggering backwards into the wall. Bleeding, you fall to the floor. You have lost the duel.
EVTDESC_RoI_1103	Your opponent backs away, getting closer to the crowd. Then suddenly, he grabs a woman from among the spectators and throws her into you. As you both go down in a tangle on the floor, he strikes with his weapon, and you feel a sharp pain as the woman screams along with you. You have lost the duel.	Luckily, I am only slightly injured.
EVTDESC_RoI_1104	You move quickly against [From.GetTitled.FirstName], striking the weapon from his hand. You press him back towards a serving table. Desperately, he grabs a bunch of fruit and throws it before your feet. You slip in the fruit, falling over! [From.GetTitled.FirstName] gets a large leg of mutton from the same table and starts pounding you relentlessly. There is pain, so much pain. You have lost the duel.	I have been wounded!
EVTDESC_RoI_1105	The duel is hard-fought, neither combatant gaining the advantage. Then suddenly, [From.GetTitled.FirstName] stares wildly into the crowd behind you, shouting 	I have been maimed!
EVTDESC_RoI_1106	You are pressing [From.GetTitled.FirstName] hard, raining down strikes on him. As he retreats, he trips on his feet and falls to the floor, hitting his head and passing out. You turn to receive the cheers of the spectators, smiling. Just seconds later you feel a sharp pain. As you fall, you realize that [From.GetTitled.FirstName] was faking injury to stab you in the back. You have lost the duel.	I feel I may be mortally wounded...
EVTDESC_RoI_1107	Both combatants circle around, trying to find an opening. You notice [From.GetTitled.FirstName] backing towards the guards by the door. Suddenly, he reaches out and snatches a bow from one of them. One second later, he has snatched an arrow and nocked it. As he lets fly, the arrow hits you and you go down. You have lost the duel.	You slash at [From.GetTitled.FirstName], but you miss and leave an opening. He exploits this, grabbing you by the collar and pulling you towards him while stabbing upwards with his dagger. The dagger hits its mark and you fall to the floor, bleeding. You have lost the duel.
EVTDESC_RoI_1110	Feinting right, then going left and catching [From.GetTitled.FirstName] with a diagonal upwards swing of your sword, you send him staggering backwards into the wall. Bleeding, he falls to the floor. You have won the duel.	You lunge at [From.GetTitled.FirstName], but he dodges and then kicks you in the side, unbalancing you. He takes a quick step forward and then thrusts his spear at your chest. He strikes true and you fall to the floor, bleeding. You have lost the duel.
EVTOPTA_RoI_1110	[From.GetTitled.FirstName] is only slightly injured.	Your opponent backs away, getting closer to the crowd. Then suddenly, he grabs a woman from among the spectators and throws her into you. As you both go down in a tangle on the floor, he strikes with his weapon, and you feel a sharp pain as the woman screams along with you. You have lost the duel.
EVTOPTB_RoI_1110	[From.GetTitled.FirstName] lies wounded.	You move quickly against [From.GetTitled.FirstName], striking the weapon from his hand. You press him back towards a serving table. Desperately, he grabs a bunch of fruit and throws it before your feet. You slip in the fruit, falling over! [From.GetTitled.FirstName] gets a large leg of mutton from the same table and starts pounding you relentlessly. There is pain, so much pain. You have lost the duel.
EVTOPTC_RoI_1110	[From.GetTitled.FirstName] lies maimed.	The duel is hard-fought, neither combatant gaining the advantage. Then suddenly, [From.GetTitled.FirstName] stares wildly into the crowd behind you, shouting 
EVTOPTD_RoI_1110	I killed [From.GetTitled.FirstName].	You are pressing [From.GetTitled.FirstName] hard, raining down strikes on him. As he retreats, he trips on his feet and falls to the floor, hitting his head and passing out. You turn to receive the cheers of the spectators, smiling. Just seconds later you feel a sharp pain. As you fall, you realize that [From.GetTitled.FirstName] was faking injury to stab you in the back. You have lost the duel.
EVTDESC_RoI_1111	[From.GetTitled.FirstName] slashes at you, but as he misses you see an opening and grab him by the collar, pulling him towards you while stabbing upwards with your dagger. You hit your mark and he falls to the floor, bleeding. You have won the duel.	Both combatants circle around, trying to find an opening. You notice [From.GetTitled.FirstName] backing towards the guards by the door. Suddenly, he reaches out and snatches a bow from one of them. One second later, he has snatched an arrow and nocked it. As he lets fly, the arrow hits you and you go down. You have lost the duel.
EVTDESC_RoI_1112	You swiftly dodge a lunge from [From.GetTitled.FirstName], then kick him in the side to unbalance him. A quick step forward, and you then thrust your spear at his chest. You strike true and he falls to the floor, bleeding. You have won the duel.	Feinting right, then going left and catching [From.GetTitled.FirstName] with a diagonal upwards swing of your sword, you send him staggering backwards into the wall. Bleeding, he falls to the floor. You have won the duel.
EVTDESC_RoI_1113	You back away, getting close to the crowd. Then suddenly, you grab a woman from among the spectators and throw her into [From.GetTitled.FirstName]. As they both go down in a tangle on the floor, you strike several times with your weapon, and both of them scream. You have won the duel.	[From.GetTitled.FirstName] is only slightly injured.
EVTDESC_RoI_1114	backwards towards a serving table.  Desperately, you grab a bunch of fruit and throw it before his feet. He slips in the fruit, falling over! You get a large leg of mutton from the same table and start pounding your prone opponent relentlessly. Eventually he goes quiet and limp. You have won the duel.	[From.GetTitled.FirstName] lies wounded.
EVTDESC_RoI_1115	You seem unable to gain the upper hand on [From.GetTitled.FirstName], and you feel you need an advantage. You glance at the spectators, then suddenly stare wildly behind [From.GetTitled.FirstName], shouting: 	[From.GetTitled.FirstName] lies maimed.
EVTDESC_RoI_1116	[From.GetTitled.FirstName] is pressing you hard, raining strikes down on you. Scrambling to retreat, you trip on your feet and fall to the ground, hitting your head. Immediately, you shut your eyes, trying to save yourself by playing unconscious. [From.GetTitled.FirstName] falls for it, turning to receive the spectators' applause. You quietly rise and stab him in the back. You have won the duel.	I killed [From.GetTitled.FirstName].
EVTDESC_RoI_1117	Both combatants circle around, trying to find an opening. You suddenly have an idea. Edging towards the guards by the door, you reach out and snatch a bow from one of them. One second later, you have snatched an arrow and nocked it. You let fly at the surprised [From.GetTitled.FirstName]. The arrow hits and he goes down. You have won the duel.	[From.GetTitled.FirstName] slashes at you, but as he misses you see an opening and grab him by the collar, pulling him towards you while stabbing upwards with your dagger. You hit your mark and he falls to the floor, bleeding. You have won the duel.
EVTDESC_RoI_1140	During the feast, you are entertained by dancers. One of the female dancers especially catches your attention. She moves with near divine grace and allure, and you feel strangely attracted to her. You come to think of the mysterious and beautiful Apsara of legend, shapechanging dancers descending from the heavens.	You swiftly dodge a lunge from [From.GetTitled.FirstName], then kick him in the side to unbalance him. A quick step forward, and you then thrust your spear at his chest. You strike true and he falls to the floor, bleeding. You have won the duel.
EVTOPTA_RoI_1140	Call her over after the dance.	You back away, getting close to the crowd. Then suddenly, you grab a woman from among the spectators and throw her into [From.GetTitled.FirstName]. As they both go down in a tangle on the floor, you strike several times with your weapon, and both of them scream. You have won the duel.
EVTOPTB_RoI_1140	Leave it be.	backwards towards a serving table.  Desperately, you grab a bunch of fruit and throw it before his feet. He slips in the fruit, falling over! You get a large leg of mutton from the same table and start pounding your prone opponent relentlessly. Eventually he goes quiet and limp. You have won the duel.
EVTDESC_RoI_1141	You call the dancer over after the dance has finished, and she comes and sits down next to you. You talk of the body, pleasure and beauty. She sits very close to you, speaking with a soft and seductive voice. You begin to feel strangely warm and light-headed. It feels good.	You seem unable to gain the upper hand on [From.GetTitled.FirstName], and you feel you need an advantage. You glance at the spectators, then suddenly stare wildly behind [From.GetTitled.FirstName], shouting: 
EVTOPTA_RoI_1141	Let's go somewhere private...	[From.GetTitled.FirstName] is pressing you hard, raining strikes down on you. Scrambling to retreat, you trip on your feet and fall to the ground, hitting your head. Immediately, you shut your eyes, trying to save yourself by playing unconscious. [From.GetTitled.FirstName] falls for it, turning to receive the spectators' applause. You quietly rise and stab him in the back. You have won the duel.
EVTOPTB_RoI_1141	Enchanted, but you should leave, my dear.	Both combatants circle around, trying to find an opening. You suddenly have an idea. Edging towards the guards by the door, you reach out and snatch a bow from one of them. One second later, you have snatched an arrow and nocked it. You let fly at the surprised [From.GetTitled.FirstName]. The arrow hits and he goes down. You have won the duel.
EVTDESC_RoI_1142	As you wake, your mind is filled with memories of a wonderful night of pleasure. You look around, but the dancer is gone without a trace. It was truly something extraordinary, and your mind wanders to old tales told by priests and storytellers - was she really a human woman, or could it be that you have met one of the beautiful Apsara of legend?	During the feast, you are entertained by dancers. One of the female dancers especially catches your attention. She moves with near divine grace and allure, and you feel strangely attracted to her. You come to think of the mysterious and beautiful Apsara of legend, shapechanging dancers descending from the heavens.
EVTOPTA_RoI_1142	I have been touched by the divine.	Call her over after the dance.
EVTOPTB_RoI_1142	I shall never know.	Leave it be.
