#CODE	ENGLISH
CONVERTING	CONVERTING
EVTDESC_TOG_7304	Those who worship Lempo has chosen an erratic Master. While they may share many secrets regarding love and seduction, know that matters of the heart can be as dangerous as those of the sword. However, if you keep your wits about you, Lempo's lessons shall bring you power and influence beyond comprehension.
follower_of_ukko	Follower of Ukko
follower_of_ukko_desc	This character is a devout follower of Ukko, the Suomenusko deity of the sky and harvests.
follower_of_akka	Follower of Akka
follower_of_akka_desc	This character is a devout follower of Akka, the Suomenusko deity of motherhood, protection and love.
follower_of_taipo_and_mielikki	Follower of Tapio and Mielikki
follower_of_taipo_and_mielikki_desc	This character is a devout follower of Tapio and Mielikki, the Suomenusko deities of forests, hunting and healing.
follower_of_lempo	Follower of Lempo
follower_of_lempo_desc	This character is a devout follower of Lempo, the Suomenusko deity of seduction and love.
EVTDESC_TOG_7400	There are many deities whom you can chose to follow. The supreme ruler, our Father Dievas, or his ambitious brother Velnias, God of the Underworld. For luck in war, pray to Perkunas, God of Thunder. Zemyna, the Earth Goddess, blesses her faithful with fertility and good harvests.
EVTOPTA_TOG_7400	Good Dievas, I shall serve you faithfully.
EVTOPTB_TOG_7400	Velnias, share the secrets of death with me!
EVTOPTC_TOG_7400	I will bring you honor on the battlefield, mighty Perkunas!
EVTOPTD_TOG_7400	My prayers go to bountiful Zemyna.
EVTDESC_TOG_7401	Dievas, our Father, is the supreme ruler of all Gods and Goddessess. He has created all that which is good and wonderful in this world, including us. His rule is one of peace and understanding, and those are his gifts to faithful followers.
EVTDESC_TOG_7402	Velnias the Serpent is God of Death and the Underworld. He is the brother of Dievas and the enemy of Perkunas. He can shapeshift into various animals, conjure up storms, and is a master of chaos and deception. Beware those who have been given his powers.
EVTDESC_TOG_7403	Perkunas is the God of Thunder. He rides the skies in his chariot, with his magical axe in his hand. His eternal enemy is Velnias the Serpent, Lord of the Underworld, whom he protects us from. Those who are faithful to Perkunas will be given his courage and success.
EVTDESC_TOG_7404	The Mother, Zemyna, is the fertile earth which nourishes us all. Every man and woman, animal and plant, owe their life force to her. When our lives in her green realm is over, we return to her again, to find the endless rest in her arms.
follower_of_dievas	Follower of Dievas
follower_of_dievas_desc	This character is a devout follower of Dievas, the Romuva chief deity of Peace.
follower_of_perkunas	Follower of Perkunas
follower_of_perkunas_desc	This character is a devout follower of Perkunas, the Romuva deity of Thunder.
follower_of_velnias	Follower of Velnias
follower_of_velnias_desc	This character is a devout follower of Velnias, the Romuva deity of Death.
follower_of_zemyna	Follower of Zemyna
follower_of_zemyna_desc	This character is a devout follower of Zemyna, the Romuva deity of Earth and Motherhood.
EVTOPTA_TOG_7500	I hope to be worthy of this blessing.
EVTDESC_TOG_7500_DIEVAS	You have toiled devoutly in your endeavor to follow the path of Dievas. In his name you have promote peace and understanding between your subjects. As a result, your diplomatic skills have been improving.
EVTDESC_TOG_7500_AKKA	You have toiled devoutly in your endeavor to follow the path of Akka. In her name you have promote peace and understanding between your subjects. As a result, your diplomatic skills have been improving.
EVTDESC_TOG_7500_YEMOJA	You have toiled devoutly in your endeavor to follow the path of Yemoja. In her name you have promote peace and understanding between your subjects. As a result, your diplomatic skills have been improving.
EVTDESC_TOG_7501_PERKUNAS	You have toiled devoutly in your endeavor to follow the path of Perkunas. In his name you have practiced your axemanship and spent many hours strategizing at the war table with your commanders. As a result, your martial skills have been improving.
EVTDESC_TOG_7501_TM	You have toiled devoutly in your endeavor to follow the path of Tapio and Mielikki. In their name you have arranged a number grand hunts as well as spent many solitary hours tracking in the wilderness. As a result, your martial skills have been improving.
EVTDESC_TOG_7501_SHANGO	You have toiled devoutly in your endeavor to follow the path of Shango. In his name you have practiced your spear throwing and spent many hours strategizing at the war hut with your commanders. As a result, your martial skills have been improving.
EVTDESC_TOG_7501_PERUN	You have toiled devoutly in your endeavor to follow the path of Perun. In his name you have practiced your axemanship and spent many hours strategizing at the war table with your commanders. As a result, your martial skills have been improving.
EVTDESC_TOG_7502_ZEMYNA	You have toiled devoutly in your endeavor to follow the path of Zemyna. In her name you have arranged harvest festivals and fertility rites, as well as spent many hours inspecting the fields of [Root.Capital.GetName]. As a result, your stewardship skills have been improving.
EVTDESC_TOG_7502_UKKO	You have toiled devoutly in your endeavor to follow the path of Ukko. In his name you have arranged harvest festivals and fertility rites, as well as spent many hours inspecting the fields of [Root.Capital.GetName]. As a result, your stewardship skills have been improving.
EVTDESC_TOG_7502_EKWENSU	You have toiled devoutly in your endeavor to follow the path of Ekwensu. In his name you have traveled across the realm to inspect markets and trade routes, as well as invested in several mercantile expeditions. As a result, your stewardship skills have been improving.
EVTDESC_TOG_7502_JARILO	You have toiled devoutly in your endeavor to follow the path of Jarilo. In his name you have arranged harvest festivals and fertility rites, as well as spent many hours inspecting the fields of [Root.Capital.GetName]. As a result, your stewardship skills have been improving.
EVTDESC_TOG_7503_VELNIAS	You have toiled devoutly in your endeavor to follow the path of Velnias. In his name you have plotted and spied, brewed poisons and manipulated. As a result, your skills of intrigue have been improving.
EVTDESC_TOG_7503_LEMPO	You have toiled devoutly in your endeavor to follow the path of Lempo. In their name you have woven enchanting tales and spun sweet promises, seduced the longing and bedded the lusting. As a result, your skills of intrigue have been improving.
EVTDESC_TOG_7503_VELES	You have toiled devoutly in your endeavor to follow the path of Veles. In his name you have plotted and spied, brewed poisons and manipulated. As a result, your skills of intrigue have been improving.
EVTDESC_TOG_7503_ORUNMILA	You have toiled devoutly in your endeavor to follow the path of Orunmila. In her name you have sought out knowledge and purity, as well as taught and done good deeds wherever your travels have taken you. As a result, your learning has been improving.
EVTDESC_TOG_7503_MORANA	You have toiled devoutly in your endeavor to follow the path of Morana. In her name you have sought out knowledge and secrets, both in the earthly realm and in her domain, the dream lands. As a result, your learning has been improving.
EVTOPTA_TOG_7506	[From.GetFirstName], we should talk some more!
EVTOPTA_TOG_7506_TOOLTIP	Continue the conversation with §Y[From.GetTitledFirstName]§!.\n
EVTOPTB_TOG_7506	Actually, it is time to continue.
EVTDESC_TOG_7506_ORUNMILA	It is early morning and you are at the shrine dedicated to Orunmila, deep in prayers. You hear soft footsteps behind you – who could it be at this hour? [From.GetTitledFirstName], as it turns out. You exchange some pleasantries and soon you find yourself in a full-fledged conversation. You have so much in common!
EVTDESC_TOG_7506_MORANA	It is early morning and you are at the shrine dedicated to Morana, deep in prayers. You hear soft footsteps behind you – who could it be at this hour? [From.GetTitledFirstName], as it turns out. You exchange some pleasantries and soon you find yourself in a full-fledged conversation. You have so much in common!
EVTDESC_TOG_7506_PERUN	It is a fine day and you are out hunting with a small party. As you take a break to eat your midday meal, you find yourself in a discussion on archery with [From.GetTitledFirstName]. It turns out that [From.GetSheHe] is also a devout follower of Perun. The longer you talk the more you seem to have in common!
EVTDESC_TOG_7506_PERKUNAS	It is a fine day and you are out hunting with a small party. As you take a break to eat your midday meal, you find yourself in a discussion on archery with [From.GetTitledFirstName]. It turns out that [From.GetSheHe] is also a devout follower of Perkunas. The longer you talk the more you seem to have in common!
EVTDESC_TOG_7506_TM	It is a fine day and you are out hunting with a small party. As you take a break to eat your midday meal, you find yourself in a discussion on archery with [From.GetTitledFirstName]. It turns out that [From.GetSheHe] is also a follower of Tapio and Mielikki. The longer you talk the more you seem to have in common!
EVTDESC_TOG_7506_SHANGO	It is a fine day and you are out hunting with a small party. As you take a break to eat your midday meal, you find yourself in a discussion on archery with [From.GetTitledFirstName]. It turns out that [From.GetSheHe] is also a devout follower of Shango. The longer you talk the more you seem to have in common!
EVTDESC_TOG_7506_UKKO	Many find it odd that a [Root.GetTitle] works in the fields, but tending to the land and crops make you feel closer to Ukko, more so than any prayer. As you take a short break, you notice [From.GetTitledFirstName] approaching. You greet and exchange some words about the harvest. It turns out that [From.GetSheHe] is also a follower of Ukko!
EVTDESC_TOG_7506_ZEMYNA	Many find it odd that a [Root.GetTitle] works in the fields, but tending to the land and crops make you feel closer to Zemyna, more so than any prayer. As you take a short break, you notice [From.GetTitledFirstName] approaching. You greet and exchange some words about the harvest. It turns out that [From.GetSheHe] is also a follower of Zemyna!
EVTDESC_TOG_7506_JARILO	Many find it odd that a [Root.GetTitle] works in the fields, but tending to the land and crops make you feel closer to Jarilo, more so than any prayer. As you take a short break, you notice [From.GetTitledFirstName] approaching. You greet and exchange some words about the harvest. It turns out that [From.GetSheHe] is also a follower of Jarilo!
EVTDESC_TOG_7506_EKWENSU	Many find it odd that a [Root.GetTitle] barters at the market, but it makes you feel closer to Ekwensu, more so than any prayer. [From.GetTitledFirstName] approaches you, and the two of you exchange some words about the state of trading in [Root.PrimaryTitle.GetName]. It turns out that [From.GetSheHe] is also a follower of Ekwensu!
EVTDESC_TOG_7506_YEMOJA	It is early morning and you are at the shrine dedicated to Yemoja, deep in prayers. You hear soft footsteps behind you – who could it be at this hour? [From.GetTitledFirstName], as it turns out. You exchange some pleasantries and soon you find yourself in a full-fledged conversation. You have so much in common!
EVTDESC_TOG_7506_AKKA	It is early morning and you are at the shrine dedicated to Akka, deep in prayers. You hear soft footsteps behind you – who could it be at this hour? [From.GetTitledFirstName], as it turns out. You exchange some pleasantries and soon you find yourself in a full-fledged conversation. You have so much in common!
EVTDESC_TOG_7506_DIEVAS	It is early morning and you are at the shrine dedicated to Dievas, deep in prayers. You hear soft footsteps behind you – who could it be at this hour? [From.GetTitledFirstName], as it turns out. You exchange some pleasantries and soon you find yourself in a full-fledged conversation. You have so much in common!
EVTDESC_TOG_7506_VELES	When you needed an accomplice in a small scheme, [From.GetTitledFirstName] proved to be an unexpected ally. Think what mutual benefits can do to unite two souls! While it was pure business at first, it turns out you have plenty in common, such as your reverence of Veles. Now you spend more time conversing than plotting...
EVTDESC_TOG_7506_LEMPO	When you needed an accomplice in a small scheme, [From.GetTitledFirstName] proved to be an unexpected ally. Think what mutual benefits can do to unite two souls! While it was pure business at first, it turns out you have plenty in common, such as your reverence of Lempo. Now you spend more time conversing than plotting...
EVTDESC_TOG_7506_VELNIAS	When you needed an accomplice in a small scheme, [From.GetTitledFirstName] proved to be an unexpected ally. Think what mutual benefits can do to unite two souls! While it was pure business at first, it turns out you have plenty in common, such as your reverence of Velnias. Now you spend more time conversing than plotting...
struck_by_lightning	Struck by Lightning
struck_by_lightning_desc	This character was struck by lightning!
comforted_opinion	Comforted
tough_love_opinion	Tough Love
EVTDESC_TOG_7508_PERUN	You sit huddled up together by the fire, the air thick with tension. The skies outside are dark with heavy clouds and Perun's presence is as tangible as the rain smattering on the roof. Suddenly, the room is lit by a bright flash and an ear-deafening crack cuts through the silence. Your [GetFromRelation] [From.GetFirstName] breaks into tears.
EVTDESC_TOG_7508_PERKUNAS	You sit huddled up together by the fire, the air thick with tension. The skies outside are dark with heavy clouds and Perkunas' presence is as tangible as a lover's touch. Suddenly, the room is lit by a bright flash and an ear-deafening crack cuts through the silence. Your [GetFromRelation] [From.GetFirstName] breaks into tears.
EVTDESC_TOG_7508_SHANGO	You sit huddled up together by the fire, the air thick with tension. The skies outside are dark with heavy clouds and Shango's presence is as tangible as a lover's touch. Suddenly, the room is lit by a bright flash and an ear-defening crack cuts through the silence. Your [GetFromRelation] [From.GetFirstName] breaks into tears.
EVTDESC_TOG_7508_UKKO	You sit huddled up together by the fire, the air thick with tension. The skies outside are dark with heavy clouds and Ukko's presence is as tangible as a lover's touch. Suddenly, the room is lit by a bright flash and an ear-defening crack cuts through the silence. Your [GetFromRelation] [From.GetFirstName] breaks into tears.
EVTOPTA_TOG_7508	Fear not, for the God of Thunder is our protector!
EVTOPTA_TOG_7508_TOOLTIP	Run out into the storm to prove to §Y[From.GetTitledFirstName]§! that thunder is nothing to worry about.\n
EVTOPTB_TOG_7508	Let me tell you a story...
EVTOPTB_TOG_7508_TOOLTIP	You tell §Y[From.GetTitledFirstName]§! a story about the mighty God of Thunder.\n
EVTOPTC_TOG_7508	Your cowardice shames you, [From.GetFirstName]!
EVTOPTC_TOG_7508_TOOLTIP	Scold §Y[From.GetTitledFirstName]§! for [From.GetHerHis] cowardice.\n
EVTDESC_TOG_7510_JARILO	You are dancing at the fertility rite held in Jarilo's honor as your eyes find [From.GetTitledFirstName]'s across the bonfire. For a moment, it is as if the whole world turns silent. The drumming is a distant thunder, yet the rhythmic vibrations run through your body, to your very core...
EVTDESC_TOG_7510_LEMPO	You are dancing at the secret rite held in Lempo's honor as your eyes find [From.GetTitledFirstName]'s across the bonfire. For a moment, it is as if the whole world turns silent. The drumming is a distant thunder, yet the rhythmic vibrations run through your body, to your very core...
EVTOPTA_TOG_7510_LEMPO	Tonight, I shall bed [From.GetFirstName] in the name of Lempo.
EVTOPTA_TOG_7510_JARILO	Tonight, I shall bed [From.GetFirstName] in the name of Jarilo.
EVTOPTB_TOG_7510	This is... something more.
EVTOPTC_TOG_7510	[From.GetFirstName]? What was I thinking!
EVTOPTC_TOG_7510_TOOLTIP	Ignore the strange impulse and keep dancing.
zemynas_blessing	Zemyna's Blessing
zemynas_blessing_desc	This character feels blessed by the Goddess Zemyna, which has improved their marriage.
yemojas_blessing	Yemoja's Blessing
yemojas_blessing_desc	This character feels blessed by the Goddess Yemoja, which has improved their marriage.
akkas_blessing	Akka's Blessing
akkas_blessing_desc	This character feels blessed by the Goddess Akka, which has improved their marriage.
happy_parent_opinion	Happy Parent
EVTDESC_TOG_7510_ZEMYNA	Lately, you have striven to act in the spirit of Zemyna by treating your [From.GetHusbandWife] [From.GetTitledFirstName] with respect and warmth. Slowly it has changed the dynamic of your relationship, and those who are closest to you have noticed it as well.
EVTDESC_TOG_7510_YEMOJA	Lately, you have striven to act in the spirit of Yemoja by treating your [From.GetHusbandWife] [From.GetTitledFirstName] with respect and warmth. Slowly it has changed the dynamic of your relationship, and those who are closest to you have noticed it as well.
EVTDESC_TOG_7510_AKKA	Lately, you have striven to act in the spirit of Akka by treating your [From.GetHusbandWife] [From.GetTitledFirstName] with respect and warmth. Slowly it has changed the dynamic of your relationship, and those who are closest to you have noticed it as well.
EVTOPTA_TOG_7512	Praised be the Goddess!
EVTOPTB_TOG_7512	Yet I cannot bring myself to touch [From.GetHerHim]...
EVTDESC_TOG_7514	Your [GetFromRelation], little [From.GetFirstName], has sought you out with a dead bird cradled in [From.GetHerHis] arms. With a concerned look on [From.GetHerHis] face, [From.GetFirstName] asks you what happened to the animal. Why is she not flying anymore?
EVTOPTA_TOG_7514_MORANA	The bird is in with Morana now, dearest [From.GetFirstName].
EVTOPTA_TOG_7514_VELES	The bird is in with Veles now, dearest [From.GetFirstName].
EVTOPTA_TOG_7514_VELNIAS	The bird is in with Velnias now, dearest [From.GetFirstName].
EVTOPTA_TOG_7514_TOOLTIP	Tell §Y[From.GetTitledFirstName]§! a calming tale, hoping it will make [From.GetHerHim] more at ease with the concept of death.\n
EVTOPTB_TOG_7514_MORANA	Morana is a relentless mistress. Death awaits us all.
EVTOPTB_TOG_7514_VELES	Veles is a relentless master. Death awaits us all.
EVTOPTB_TOG_7514_VELNIAS	Velnias is a relentless master. Death awaits us all.
EVTOPTB_TOG_7514_TOOLTIP	Tell §Y[From.GetTitledFirstName]§! a honest tale, hoping it will harden [From.GetHerHim].\n
EVTOPTC_TOG_7514	I'm busy, go and play with the other children...
EVTDESC_TOG_7515_A	Your tale seemed to calm [From.GetTitledFirstName]. As you spoke, [From.GetSheHe] listened intently, while stroking the dead bird absentmindedly. When you were done, [From.GetSheHe] asked some questions, and then you buried the little feathered body together in the gardens.
EVTDESC_TOG_7515_B	[From.GetTitledFirstName] listened to your tale for a while. Once it had calmed [From.GetHerHim], [From.GetSheHe] seemed to lose interest. You could see that there was no point in lecturing further, so you sent [From.GetHerHim] away to play. [From.GetFirstName] complied without protests.
EVTDESC_TOG_7515_C	Little [From.GetFirstName] listened in silence, a serious look on [From.GetHerHis] face. You could tell that despite [From.GetHerHis] tender age, [From.GetSheHe] did understand something of the finality of death. [From.GetFirstName] asked some questions and you could tell [From.GetSheHe] appreciated your honest answers.
EVTDESC_TOG_7515_D	Little [From.GetFirstName] listened in silence, a terrified look on [From.GetHerHis] face. Towards the end, [From.GetHerHis] lip started to quiver, but you bore on. [From.GetSheHeCap] was in tears by the time you were done. Perhaps you overdid it slightly...
EVTOPTA_TOG_7515_MORANA	[From.GetFirstName] will become an excellent disciple of Morana one day!
EVTOPTA_TOG_7515_VELES	[From.GetFirstName] will become an excellent disciple of Veles one day!
EVTOPTA_TOG_7515_VELNIAS	[From.GetFirstName] will become an excellent disciple of Velnias one day!
EVTOPTB_TOG_7515_MORANA	[From.GetFirstName] is clearly not one of Morana's chosen...
EVTOPTB_TOG_7515_VELES	[From.GetFirstName] is clearly not one of Veles' chosen...
EVTOPTB_TOG_7515_VELNIAS	[From.GetFirstName] is clearly not one of Velnias' chosen...
EVTDESC_TOG_7516_PERKUNAS	Your reputation as a devout follower of Perkunas has spread across the lands. Many great and seasoned warriors have since traveled to [Root.Capital.GetName] to pledge their allegiance to your cause.
EVTDESC_TOG_5716_TM	Your reputation as a devout follower of Tapio and Mielikki has spread across the lands. Many great and seasoned warriors have since traveled to [Root.Capital.GetName] to pledge their allegiance to your cause.
EVTDESC_TOG_7516_SHANGO	Your reputation as a devout follower of Shango has spread across the lands. Many great and seasoned warriors have since traveled to [Root.Capital.GetName] to pledge their allegiance to your cause.
EVTDESC_TOG_7516_PERUN	Your reputation as a devout follower of Perun has spread across the lands. Many great and seasoned warriors have since traveled to [Root.Capital.GetName] to pledge their allegiance to your cause.
EVTOPTA_TOG_7516_A	Praised be the Hunter and the Huntress!
EVTOPTA_TOG_7516_B	Glory to the Thunder God!
inspired_warriors_desc	Seasoned warriors have traveled from far and wide, to fight for the true faith.
EVTDESC_TOG_7518_DIEVAS	In your efforts to become more like the good Dievas, you have begun treating everyone who crosses your path with more understanding and respect. As a result, you have become known for your compassionate ways and noble nature. Some go as far as calling you "the Voice of Dievas".
EVTDESC_TOG_7518_AKKA	In your efforts to become more like the good Akka, you have begun treating everyone who crosses your path with more understanding and respect. As a result, you have become known for your compassionate ways and noble nature. Some go as far as calling you "the Voice of Akka".
EVTDESC_TOG_7518_YEMOJA	In your efforts to become more like the good Yemoja, you have begun treating everyone who crosses your path with more understanding and respect. As a result, you have become known for your compassionate ways and noble nature. Some go as far as calling you "the Voice of Yemoja".
EVTOPTA_TOG_7518_A	I am proud to bring honor to Dievas.
EVTOPTA_TOG_7518_B	I am proud to bring honor to the Goddess.
voice_of_akka	Voice of Akka
voice_of_akka_desc	It is well known that this character possesses the compassion and dignity of the Goddess Akka.
voice_of_yemoja	Voice of Yemoja
voice_of_yemoja_desc	It is well known that this character possesses the compassion and dignity of the Goddess Yemoja.
voice_of_dievas	Voice of Dievas
voice_of_dievas_desc	It is well known that this character possesses the compassion and dignity of the God Dievas.
EVTDESC_TOG_7520_ZEMYNA	Your efforts to make the most out Zemyna's holy soil has turned you into a true inspiration for your people. Their hard work, in combination with the fair weather which the Goddess has blessed you with, has resulted in the richest harvest in many years. Celebrations in Zemyna's honor is held in every village.
EVTDESC_TOG_7520_UKKO	Your efforts to make the most out Ukko's holy soil has turned you into a true inspiration for your people. Their hard work, in combination with the fair weather which the God has blessed you with, has resulted in the richest harvest in many years. Celebrations in Ukko's honor is held in every village.
EVTDESC_TOG_7520_JARILO	Your efforts to make the most out Jarilo's holy soil has turned you into a true inspiration for your people. Their hard work, in combination with the fair weather which the God has blessed you with, has resulted in the richest harvest in many years. Celebrations in Jarilo's honor is held in every village.
EVTDESC_TOG_7520_EKWENSU	Your efforts to make [Root.Capital.GetName] famous for its markets and merchants has paid of. The city is prospering like never before, and more people gather at the shrine of Ekwensu each day. You have inspired many to follow his path.
EVTOPTA_TOG_7520	The prosperity of [Root.Capital.GetName] is a fine sight, indeed!
blessed_lands	Blessed Lands
blessed_lands_desc	These lands are prosperous, which many inhabitants believe is due to a blessing from the Gods.
EVTDESC_TOG_7522_LEMPO_ME	Following in the footsteps of Lempo has brought you down many paths you would never otherwise tread. The things one can overhear during such journeys often prove valuable, indeed. Just recently you discovered that [god_plotter.GetTitledFirstName] is plotting against none other than yourself!
EVTDESC_TOG_7522_VELNIAS_ME	Following in the footsteps of Velnias has brought you down many paths you would never otherwise tread. The things one can overhear during such journeys often prove valuable, indeed. Just recently you discovered that [god_plotter.GetTitledFirstName] is plotting against none other than yourself!
EVTDESC_TOG_7522_VELES_ME	Following in the footsteps of Veles has brought you down many paths you would never otherwise tread. The things one can overhear during such journeys often prove valuable, indeed. Just recently you discovered that [god_plotter.GetTitledFirstName] is plotting against none other than yourself!
EVTDESC_TOG_7522_LEMPO	Following in the footsteps of Lempo has brought you down many paths you would never otherwise tread. The things one can overhear during such journeys often prove valuable, indeed. Just recently you discovered that [god_plotter.GetTitledFirstName] is plotting against [god_plot_target.GetTitledFirstName]...
EVTDESC_TOG_7522_VELNIAS	Following in the footsteps of Velnias has brought you down many paths you would never otherwise tread. The things one can overhear during such journeys often prove valuable, indeed. Just recently you discovered that [god_plotter.GetTitledFirstName] is plotting against [god_plot_target.GetTitledFirstName]...
EVTDESC_TOG_7522_VELES	Following in the footsteps of Veles has brought you down many paths you would never otherwise tread. The things one can overhear during such journeys often prove valuable, indeed. Just recently you discovered that [god_plotter.GetTitledFirstName] is plotting against [god_plot_target.GetTitledFirstName]...
EVTOPTA_TOG_7522_A	That treacherous snake!
EVTOPTA_TOG_7522_B	Perhaps I should warn [god_plot_target.GetHerHim].
EVTOPTA_TOG_7522_C	If it is the God's will.
EVTDESC_TOG_7524_ORUNMILA	In your search for wisdom in the name of Orunmila, you have had more than one epiphany relevant to welfare of your lands. Spreading that knowledge is not only beneficial to your rule, but also a sacred duty in and of itself.
EVTDESC_TOG_7524_MORANA	In your search for wisdom in the name of Morana, you have had more than one epiphany relevant to welfare of your lands. Spreading that knowledge is not only beneficial to your rule, but also a sacred duty in and of itself.
EVTOPTA_TOG_7524	The Goddess' wisdom is a bottomless well. Praised be she!
hunters_physique	Hunter's Physique
hunters_physique_desc	Due to spending a great deal of time hunting in the wilderness, this character has acquired strength and resilience, as well as a deadly aim.
EVTDESC_TOG_7517	After each hunt you make sure to leave an offering for Tapio and Mielikki in thanks of their great generosity. They surely must be pleased, for you have noticed that nowadays your arrows find their targets more often than they once did. You have been blessed with strength and a deadly aim.
EVTOPTA_TOG_7517	May the Hunter and Huntress guide my arrows.
building_monument	Building Monument
building_monument_desc	A significant portion of this province's able-bodied men are involved in a great building project.
EVTDESC_TOG_7526	Your [From.GetJobTitle], [From.GetTitledFirstName], has suggested that you build a great monument as a display of [Root.PrimaryTitle.GetName]'s might. While such a project would surely have its benefits, it would be costly, and you would need a great number of men to construct the monument.
EVTOPTA_TOG_7526_PERKUNAS	I shall erect a monument in the honor of Perkunas.
EVTOPTA_TOG_7526_TM	I shall erect a monument in the honor of Tapio and Mielikki.
EVTOPTA_TOG_7526_SHANGO	I shall erect a monument in the honor of Shango.
EVTOPTA_TOG_7526_PERUN	I shall erect a monument in the honor of Perun.
EVTOPTA_TOG_7526_DIEVAS	I shall erect a monument in the honor of Dievas.
EVTOPTA_TOG_7526_AKKA	I shall erect a monument in the honor of Akka.
EVTOPTA_TOG_7526_YEMOJA	I shall erect a monument in the honor of Yemoja.
EVTOPTA_TOG_7526_ZEMYNA	I shall erect a monument in the honor of Zemyna.
EVTOPTA_TOG_7526_UKKO	I shall erect a monument in the honor of Ukko.
EVTOPTA_TOG_7526_EKWENSU	I shall erect a monument in the honor of Ekwensu.
EVTOPTA_TOG_7526_JARILO	I shall erect a monument in the honor of Jarilo.
EVTOPTA_TOG_7526_VELNIAS	I shall erect a monument in the honor of Velnias.
EVTOPTA_TOG_7526_LEMPO	I shall erect a monument in the honor of Lempo.
EVTOPTA_TOG_7526_VELES	I shall erect a monument in the honor of Veles.
EVTOPTA_TOG_7526_ORUNMILA	I shall erect a monument in the honor of Orunmila.
EVTOPTA_TOG_7526_MORANA	I shall erect a monument in the honor of Morana.
EVTOPTA_TOG_7525_TOOLTIP	When the monument is completed in one year's time, §Y[Root.GetTitledFirstName]§! receives §G250§! piety and §Y[Root.Capital.GetName]§! gets '§YHoly Monument§!' until the death of §Y[Root.GetTitledFirstName]§!, giving the following effects:\nMonthly piety gain: §G+10.0%§!\n\n
EVTOPTB_TOG_7526	A monument dedicated to my house and the ancestors, what an excellent idea!
EVTOPTB_TOG_7525_TOOLTIP	When the monument is completed in one year's time, §Y[Root.GetTitledFirstName]§! receives §G250§! prestige and §Y[Root.Capital.GetName]§! gets '§YAncestral Monument§!' until the death of §Y[Root.GetTitledFirstName]§!, giving the following effects:\nMonthly prestige gain: §G+10.0%§!\n\n
EVTOPTC_TOG_7526	I cannot spare the gold, nor the men...
EVTDESC_TOG_7527_ANCESTORS	Finally the monument is finished. It turned out just as you envisioned it, or perhaps even better. To celebrate its completion, a grand ceremony was held in house [Root.GetOnlyDynastyName]'s honor, and what a ceremony indeed! Tales of it will be told for as long as the monument stands watch over [Root.Capital.GetName].
EVTDESC_TOG_7527_PERKUNAS	Finally the monument is finished. It turned out just as you envisioned it, or perhaps even better. To celebrate its completion, a grand ceremony was held in Perkunas' honor, and what a ceremony indeed! Tales of it will be told for as long as the monument stands watch over [Root.Capital.GetName].
EVTDESC_TOG_7527_TM	Finally the monument is finished. It turned out just as you envisioned it, or perhaps even better. To celebrate its completion, a grand ceremony was held in Tapio's and Mielikki's honor, and what a ceremony indeed! Tales of it will be told for as long as the monument stands watch over [Root.Capital.GetName].
EVTDESC_TOG_7527_SHANGO	Finally the monument is finished. It turned out just as you envisioned it, or perhaps even better. To celebrate its completion, a grand ceremony was held in Shango's honor, and what a ceremony indeed! Tales of it will be told for as long as the monument stands watch over [Root.Capital.GetName].
EVTDESC_TOG_7527_PERUN	Finally the monument is finished. It turned out just as you envisioned it, or perhaps even better. To celebrate its completion, a grand ceremony was held in Perun's honor, and what a ceremony indeed! Tales of it will be told for as long as the monument stands watch over [Root.Capital.GetName].
EVTDESC_TOG_7527_DIEVAS	Finally the monument is finished. It turned out just as you envisioned it, or perhaps even better. To celebrate its completion, a grand ceremony was held in Dievas' honor, and what a ceremony indeed! Tales of it will be told for as long as the monument stands watch over [Root.Capital.GetName].
EVTDESC_TOG_7527_AKKA	Finally the monument is finished. It turned out just as you envisioned it, or perhaps even better. To celebrate its completion, a grand ceremony was held in Akka's honor, and what a ceremony indeed! Tales of it will be told for as long as the monument stands watch over [Root.Capital.GetName].
EVTDESC_TOG_7527_YEMOJA	Finally the monument is finished. It turned out just as you envisioned it, or perhaps even better. To celebrate its completion, a grand ceremony was held in Yemoja's honor, and what a ceremony indeed! Tales of it will be told for as long as the monument stands watch over [Root.Capital.GetName].
EVTDESC_TOG_7527_ZEMYNA	Finally the monument is finished. It turned out just as you envisioned it, or perhaps even better. To celebrate its completion, a grand ceremony was held in Zemyna's honor, and what a ceremony indeed! Tales of it will be told for as long as the monument stands watch over [Root.Capital.GetName].
EVTDESC_TOG_7527_UKKO	Finally the monument is finished. It turned out just as you envisioned it, or perhaps even better. To celebrate its completion, a grand ceremony was held in Ukko's honor, and what a ceremony indeed! Tales of it will be told for as long as the monument stands watch over [Root.Capital.GetName].
EVTDESC_TOG_7527_EKWENSU	Finally the monument is finished. It turned out just as you envisioned it, or perhaps even better. To celebrate its completion, a grand ceremony was held in Ekwensu's honor, and what a ceremony indeed! Tales of it will be told for as long as the monument stands watch over [Root.Capital.GetName].
EVTDESC_TOG_7527_JARILO	Finally the monument is finished. It turned out just as you envisioned it, or perhaps even better. To celebrate its completion, a grand ceremony was held in Jarilo's honor, and what a ceremony indeed! Tales of it will be told for as long as the monument stands watch over [Root.Capital.GetName].
