#CODE	ENGLISH	ENGLISH
REL_CAPTOR	Captor	Captor
EVTDESC_REP_018	There is a lot of commotion at the docks of [Root.MercRepCapital.GetName]. Apparently, the captain of one of your family's trade galleys rammed his ship into the pier while intoxicated. He was lynched by a furious crowd, but the other patrician families are holding you responsible for the damage to the dock facilities.	There is a lot of commotion at the docks of [Root.MercRepCapital.GetName]. Apparently, the captain of one of your family's trade galleys rammed his ship into the pier while intoxicated. He was lynched by a furious crowd, but the other patrician families are holding you responsible for the damage to the dock facilities.
EVTOPTA_REP_018	That drunken fool.	That drunken fool.
EVTOPTB_REP_018	An understandable mistake...	An understandable mistake...
EVTDESC_REP_020	The captain of one of your trade galleys was fished out of the water by a ship working for the [From.GetOnlyDynastyName] family last week. Starved and half-mad from scurvy, the captain reports that his crew mutinied and tossed him overboard. They seem to have decided on a life of piracy.	The captain of one of your trade galleys was fished out of the water by a ship working for the [From.GetOnlyDynastyName] family last week. Starved and half-mad from scurvy, the captain reports that his crew mutinied and tossed him overboard. They seem to have decided on a life of piracy.
EVTOPTA_REP_020	My ship and cargo... lost!	My ship and cargo... lost!
EVTNAME_REP_101	The Great Ball	The Great Ball
EVTDESC_REP_101	[From.GetTitledName] will soon be hosting a great ball in [From.GetHerHis] family palace, and every patrician family in the republic has been invited - except for yours. Your dynasty's relation with the [From.GetOnlyDynastyName] family has been tense as of late, as you are competing with them in several important markets.\n\nThe decision not to invite [Root.GetOnlyDynastyName] members to the ball can only be seen as a grave insult. As you sit brooding in the chambers of your own palace, you wonder how to tackle this situation. Will you turn up at the ball anyway, pretending there has been some mistake, or will you turn the other cheek and accept this affront to [Root.GetOnlyDynastyName] honor?	[From.GetTitledName] will soon be hosting a great ball in [From.GetHerHis] family palace, and every patrician family in the republic has been invited - except for yours. Your dynasty's relation with the [From.GetOnlyDynastyName] family has been tense as of late, as you are competing with them in several important markets.\n\nThe decision not to invite [Root.GetOnlyDynastyName] members to the ball can only be seen as a grave insult. As you sit brooding in the chambers of your own palace, you wonder how to tackle this situation. Will you turn up at the ball anyway, pretending there has been some mistake, or will you turn the other cheek and accept this affront to [Root.GetOnlyDynastyName] honor?
EVTOPTA_REP_101	Ready my carriage!	Ready my carriage!
EVTOPTB_REP_101	Oh well. What's a ball? I suppose it would be frightfully dull, and...	Oh well. What's a ball? I suppose it would be frightfully dull, and...
no_ball_tooltip	You stay at home, fiddling your thumbs.	You stay at home, fiddling your thumbs.
EVTTOOLTIP_REP_102	You decide to grace the ball with your presence, invitation or not.	You decide to grace the ball with your presence, invitation or not.
EVTNAME_REP_102	Arriving at the Ball...	Arriving at the Ball...
EVTDESC_REP_102	You show up at the [FromFrom.GetOnlyDynastyName] family palace with your entourage, and make your way past the posted guards before they can block your way. Music and laughter can be heard from inside the palace, but it seems to die out the moment you step inside. Hushed whispers are all that can be heard as everyone's eyes seem to focus on you.\n\n"[Root.GetTitledFirstName]!" someone calls out. [FromFrom.GetTitledFirstName] emerges from the crowd with a smile on his face. "How kind of you to join us. May I see your invitation?" As you struggle for words, guards surround you and your party. "No invitation? That's a shame." With a small wave from [FromFrom.GetFirstName], the guards drag you all outside and throw you down the stairs of the entrance. Lying on your back in the dirt, you see [FromFrom.GetFirstName] grinning down at you.	You show up at the [FromFrom.GetOnlyDynastyName] family palace with your entourage, and make your way past the posted guards before they can block your way. Music and laughter can be heard from inside the palace, but it seems to die out the moment you step inside. Hushed whispers are all that can be heard as everyone's eyes seem to focus on you.\n\n"[Root.GetTitledFirstName]!" someone calls out. [FromFrom.GetTitledFirstName] emerges from the crowd with a smile on his face. "How kind of you to join us. May I see your invitation?" As you struggle for words, guards surround you and your party. "No invitation? That's a shame." With a small wave from [FromFrom.GetFirstName], the guards drag you all outside and throw you down the stairs of the entrance. Lying on your back in the dirt, you see [FromFrom.GetFirstName] grinning down at you.
EVTOPTA_REP_102	You will live to regret this, [FromFrom.GetFirstName]! Mark my words!	You will live to regret this, [FromFrom.GetFirstName]! Mark my words!
feud_begins_tooltip	This will be the start of a great vendetta between your two families...	This will be the start of a great vendetta between your two families...
EVTNAME_REP_104	The Even Greater Ball	The Even Greater Ball
EVTDESC_REP_104	As a way to get back at the vile [From.GetOnlyDynastyName] family, you could make arrangements to host your own grand ball. Invitations will be sent out to all patrician families, with the exception of the [From.GetOnlyDynastyName] of course.\n\nIf this is to work, your ball will have to be much grander than the one that weasel [From.GetTitledFirstName] threw together. It won't be cheap, but it would restore your prestige and bring shame to those [From.GetOnlyDynastyName] dogs...	As a way to get back at the vile [From.GetOnlyDynastyName] family, you could make arrangements to host your own grand ball. Invitations will be sent out to all patrician families, with the exception of the [From.GetOnlyDynastyName] of course.\n\nIf this is to work, your ball will have to be much grander than the one that weasel [From.GetTitledFirstName] threw together. It won't be cheap, but it would restore your prestige and bring shame to those [From.GetOnlyDynastyName] dogs...
EVTOPTA_REP_104	Make it happen! Spare no expense!	Make it happen! Spare no expense!
EVTOPTB_REP_104	I refuse to stoop to their childish level.	I refuse to stoop to their childish level.
no_own_ball_tooltip	You decide to just forget about this whole thing.	You decide to just forget about this whole thing.
EVTTOOLTIP_REP_105	You make arrangements to hold a splendid ball.	You make arrangements to hold a splendid ball.
EVTNAME_REP_105	The Day of the Ball	The Day of the Ball
EVTDESC_REP_105	The day of your grand ball has arrived and everyone of importance in [Root.MercRepCapital.GetName] is in your palace. Everyone but the [FromFrom.GetOnlyDynastyName] family. Your guards have strict orders not to permit anyone from their bloodline inside.\n\nIn one corner of the ballroom, a bearded gentleman who looks vaguely familiar is loudly and unfavorably comparing your ball with the [FromFrom.GetOnlyDynastyName] one. As you approach him to set him straight, you recognize something in his voice... could it be possible...? You rush forward and rip the thick beard from the man's face to reveal [FromFrom.GetTitledFirstName]! "YOU!"\n\nAstonished, [FromFrom.GetFirstName] pushes you aside and makes a mad dash for the exit like a frightened rabbit while shoving several dancing guests to the floor.	The day of your grand ball has arrived and everyone of importance in [Root.MercRepCapital.GetName] is in your palace. Everyone but the [FromFrom.GetOnlyDynastyName] family. Your guards have strict orders not to permit anyone from their bloodline inside.\n\nIn one corner of the ballroom, a bearded gentleman who looks vaguely familiar is loudly and unfavorably comparing your ball with the [FromFrom.GetOnlyDynastyName] one. As you approach him to set him straight, you recognize something in his voice... could it be possible...? You rush forward and rip the thick beard from the man's face to reveal [FromFrom.GetTitledFirstName]! "YOU!"\n\nAstonished, [FromFrom.GetFirstName] pushes you aside and makes a mad dash for the exit like a frightened rabbit while shoving several dancing guests to the floor.
EVTOPTA_REP_105	Ha! Let him run.	Ha! Let him run.
EVTNAME_REP_151	The [From.GetOnlyDynastyName] Flagship	The [From.GetOnlyDynastyName] Flagship
EVTDESC_REP_151	Word has reached you that your mortal enemies, the [From.GetOnlyDynastyName] family, are planning the construction of a great galley the likes of which has never before been seen. It is to surpass even the bucentaur, the flagship of the Venetian Doge, in size and splendor. The hubris of [From.GetTitledFirstName] is without equal!\n\n[Root.job_spymaster.GetTitledFirstName], your [Root.GetSpymasterName], has put together a plan to make sure this atrocity never sails the seas. Men loyal to [Root.job_spymaster.GetHerHim] will infiltrate the [From.GetOnlyDynastyName] shipyard in [Root.MercRepCapital.GetName] posing as shipwrights. Once inside, they will add several subtle structural flaws to the galley that will hopefully escape detection until it sets out on its maiden voyage...	Word has reached you that your mortal enemies, the [From.GetOnlyDynastyName] family, are planning the construction of a great galley the likes of which has never before been seen. It is to surpass even the bucentaur, the flagship of the Venetian Doge, in size and splendor. The hubris of [From.GetTitledFirstName] is without equal!\n\n[Root.job_spymaster.GetTitledFirstName], your [Root.GetSpymasterName], has put together a plan to make sure this atrocity never sails the seas. Men loyal to [Root.job_spymaster.GetHerHim] will infiltrate the [From.GetOnlyDynastyName] shipyard in [Root.MercRepCapital.GetName] posing as shipwrights. Once inside, they will add several subtle structural flaws to the galley that will hopefully escape detection until it sets out on its maiden voyage...
EVTOPTA_REP_151	Brilliant! Send in the men!	Brilliant! Send in the men!
EVTOPTB_REP_151	This hare-brained scheme will never work.	This hare-brained scheme will never work.
EVTNAME_REP_152	The Marriage of the Sea	The Marriage of the Sea
EVTDESC_REP_152	[FromFrom.GetTitledFirstName] has decided to unveil the new [FromFrom.GetOnlyDynastyName] flagship today, at the annual Marriage of the Sea ceremony where the maritime dominance of Venice is celebrated. [FromFrom.GetFirstName] has invited [Root.RelHead.GetTitledFirstName] himself to oversee the ceremony from the great ship. As a long procession of ships sail through the city canals, the Pope drops one of his rings into the water and proclaims, "We wed thee, sea, in the sign of..." \n\nBefore he can finish the sentance, the galley lurches and begins to tip over! Both the Pope and [FromFrom.GetFirstName] are thrown overboard, but they are soon fished out of the water by some nearby gondoliers. The Supreme Pontiff of the Universal Church wrings out his drenched robes while launching a long tirade of profanity directed at [FromFrom.GetFirstName], who has turned red with embarassment.	[FromFrom.GetTitledFirstName] has decided to unveil the new [FromFrom.GetOnlyDynastyName] flagship today, at the annual Marriage of the Sea ceremony where the maritime dominance of Venice is celebrated. [FromFrom.GetFirstName] has invited [Root.RelHead.GetTitledFirstName] himself to oversee the ceremony from the great ship. As a long procession of ships sail through the city canals, the Pope drops one of his rings into the water and proclaims, "We wed thee, sea, in the sign of..." \n\nBefore he can finish the sentance, the galley lurches and begins to tip over! Both the Pope and [FromFrom.GetFirstName] are thrown overboard, but they are soon fished out of the water by some nearby gondoliers. The Supreme Pontiff of the Universal Church wrings out his drenched robes while launching a long tirade of profanity directed at [FromFrom.GetFirstName], who has turned red with embarassment.
EVTOPTA_REP_152	Hahaha!	Hahaha!
EVTNAME_REP_153	The Ship is Launched	The Ship is Launched
EVTDESC_REP_153	The [FromFrom.GetOnlyDynastyName] flagship has been completed, and nobles from all over [Root.MercRepCapital.GetName] have gathered at the docks to watch as the mighty vessel is put to sea. [FromFrom.GetTitledFirstName] is beaming with arrogant pride, especially when he spots you in the crowd. Before long, the sleek vessel slides into the water and hoists its sails who are adorned with the [FromFrom.GetOnlyDynastyName] family crest.\n\nSuddenly the great galley snaps in half with a terrible crack! The crowd gasps in stunned silence, but [FromFrom.GetFirstName] turns to face you immediately, his eyes glowing with fury. "YOU! This was YOUR doing!" he screams as spittle sails from his mouth. With a howl he attempts to hurl himself at you, but his struggling aides hold him back. "I don't know how you did it, [Root.GetFirstName], but I swear you will pay for this! Do you hear me, [Root.GetFirstName]?! YOU WILL PAY!"	The [FromFrom.GetOnlyDynastyName] flagship has been completed, and nobles from all over [Root.MercRepCapital.GetName] have gathered at the docks to watch as the mighty vessel is put to sea. [FromFrom.GetTitledFirstName] is beaming with arrogant pride, especially when he spots you in the crowd. Before long, the sleek vessel slides into the water and hoists its sails who are adorned with the [FromFrom.GetOnlyDynastyName] family crest.\n\nSuddenly the great galley snaps in half with a terrible crack! The crowd gasps in stunned silence, but [FromFrom.GetFirstName] turns to face you immediately, his eyes glowing with fury. "YOU! This was YOUR doing!" he screams as spittle sails from his mouth. With a howl he attempts to hurl himself at you, but his struggling aides hold him back. "I don't know how you did it, [Root.GetFirstName], but I swear you will pay for this! Do you hear me, [Root.GetFirstName]?! YOU WILL PAY!"
EVTNAME_REP_154	The Lion of the Sea	The Lion of the Sea
EVTDESC_REP_154	You are sitting on the deck of a [Root.GetOnlyDynastyName] galley, enjoying the cool sea air and the smell of saltwater when a large shadow suddenly blocks out the sun. A colossal galley, easily twice the size of your ship, sweeps past dangerously close and sends a large wave sweeping over the deck that knocks you off your feet. It's the new [FromFrom.GetOnlyDynastyName] flagship!\n\nAs you stand up, drenched from top to bottom, you hear cackling laughter from the deck of the other ship. [FromFrom.GetTitledFirstName] stands by the railing looking down at you with a smug grin on his face. "Well, well, if it isn't [Root.GetTitledFirstName]! How are you doing down there? You should take better care when sailing in waters trafficked by larger vessels. I would hate for an accident to occur..." You turn away from him to hide your scowl.	You are sitting on the deck of a [Root.GetOnlyDynastyName] galley, enjoying the cool sea air and the smell of saltwater when a large shadow suddenly blocks out the sun. A colossal galley, easily twice the size of your ship, sweeps past dangerously close and sends a large wave sweeping over the deck that knocks you off your feet. It's the new [FromFrom.GetOnlyDynastyName] flagship!\n\nAs you stand up, drenched from top to bottom, you hear cackling laughter from the deck of the other ship. [FromFrom.GetTitledFirstName] stands by the railing looking down at you with a smug grin on his face. "Well, well, if it isn't [Root.GetTitledFirstName]! How are you doing down there? You should take better care when sailing in waters trafficked by larger vessels. I would hate for an accident to occur..." You turn away from him to hide your scowl.
EVTOPTA_REP_154	Gggh... that insufferable...!	Gggh... that insufferable...!
EVTNAME_REP_155	You Are Cordially Invited...	You Are Cordially Invited...
EVTDESC_REP_155	Yet another public execution has been scheduled in [Root.MercRepCapital.GetName], and your attendance is required. Though these events normally bore you, this one catches your full attention when you realize that the convicted men about to be executed are the same men [Root.job_spymaster.GetTitledFirstName] sent to infiltrate the [FromFrom.GetOnlyDynastyName] shipyard. [FromFrom.GetTitledFirstName] joins the executioner and the convicts on their platform, and looks at you with a gloating smile.\n\n"My friends, take a long, hard look at these men," [FromFrom.GetFirstName] begins. "They are enemies of the Republic and together they conspired to sabotage the construction of the new [FromFrom.GetOnlyDynastyName] flagship. Fortunately, they were caught in the act and it has been revealed that they were not acting alone..." He gives you a long glance and you think you realize where this is going.	Yet another public execution has been scheduled in [Root.MercRepCapital.GetName], and your attendance is required. Though these events normally bore you, this one catches your full attention when you realize that the convicted men about to be executed are the same men [Root.job_spymaster.GetTitledFirstName] sent to infiltrate the [FromFrom.GetOnlyDynastyName] shipyard. [FromFrom.GetTitledFirstName] joins the executioner and the convicts on their platform, and looks at you with a gloating smile.\n\n"My friends, take a long, hard look at these men," [FromFrom.GetFirstName] begins. "They are enemies of the Republic and together they conspired to sabotage the construction of the new [FromFrom.GetOnlyDynastyName] flagship. Fortunately, they were caught in the act and it has been revealed that they were not acting alone..." He gives you a long glance and you think you realize where this is going.
EVTOPTA_REP_155	Let's go to damage control...	Let's go to damage control...
EVTNAME_REP_161	A Nightly Visit	A Nightly Visit
EVTDESC_REP_161	You wake in the middle of the night after a restless sleep, and decide to go for a stroll through the empty corridors of your palace. For some reason, you can't shake the feeling that something is amiss. Glancing through a window, you suddenly spot your laughing daughter on her balcony being serenaded by a secret lover below!\n\nTo your horror, you recognize the man as [From.GetTitledFirstName] of the despicable [From.GetOnlyDynastyName] family! You immediately grab the nearest crossbow and send several bolts after [From.GetFirstName] while screaming obscenities at him. The vile lecher quickly retreats and disappears into some bushes, while you hurry towards your crying daughter's room to scold her for bringing such shame to the [Root.GetOnlyDynastyName] name.	You wake in the middle of the night after a restless sleep, and decide to go for a stroll through the empty corridors of your palace. For some reason, you can't shake the feeling that something is amiss. Glancing through a window, you suddenly spot your laughing daughter on her balcony being serenaded by a secret lover below!\n\nTo your horror, you recognize the man as [From.GetTitledFirstName] of the despicable [From.GetOnlyDynastyName] family! You immediately grab the nearest crossbow and send several bolts after [From.GetFirstName] while screaming obscenities at him. The vile lecher quickly retreats and disappears into some bushes, while you hurry towards your crying daughter's room to scold her for bringing such shame to the [Root.GetOnlyDynastyName] name.
EVTOPTA_REP_161	You are not to see him again!	You are not to see him again!
forbid_son_tooltip	You make it clear to your son that continuing this relationship is out of the question.	You make it clear to your son that continuing this relationship is out of the question.
fobid_daughter_tooltip	You make it clear to your daughter that continuing this relationship is out of the question.	You make it clear to your daughter that continuing this relationship is out of the question.
permit_love_tooltip	Despite your previous anger, you decide to not to forbid this young couple from seeing each other.	Despite your previous anger, you decide to not to forbid this young couple from seeing each other.
end_feud_tooltip	You decide that enough lives have been lost - this feud between your families must come to an end.	You decide that enough lives have been lost - this feud between your families must come to an end.
continue_feud_tooltip	You blame the rival family for the death of your child.	You blame the rival family for the death of your child.
approve_plan_tooltip	You approve of your son's plan.	You approve of your son's plan.
refuse_plan_tooltip	You disapprove of your son's plan.	You disapprove of your son's plan.
flagship_plan_approved_tooltip	You approve the plan.	You approve the plan.
flagship_plan_refused_tooltip	You reject the plan as being too risky.	You reject the plan as being too risky.
EVTOPTB_REP_161	Perhaps I acted in haste.... I will not stand in the way of true love.	Perhaps I acted in haste.... I will not stand in the way of true love.
EVTDESC_REP_163	You wake in the middle of the night after a restless sleep, and decide to go for a stroll through the empty corridors of your palace. For some reason, you can't shake the feeling that something is amiss. As you pass your son's room, you hear faint girlish laughter and other sounds of a carnal nature! You kick open the door to reveal your son in bed with a secret lover!\n\nTo your horror, you recognize the girl as [From.GetTitledFirstName] of the despicable [From.GetOnlyDynastyName] family! As you furiously scold your son for bringing such shame to the family, the girl leaps out of bed wearing only the bedsheets and runs away in tears. The sound of her bawling echoes throughout the palace corridors, and it is matched in volume only by your voice as you discipline your son.	You wake in the middle of the night after a restless sleep, and decide to go for a stroll through the empty corridors of your palace. For some reason, you can't shake the feeling that something is amiss. As you pass your son's room, you hear faint girlish laughter and other sounds of a carnal nature! You kick open the door to reveal your son in bed with a secret lover!\n\nTo your horror, you recognize the girl as [From.GetTitledFirstName] of the despicable [From.GetOnlyDynastyName] family! As you furiously scold your son for bringing such shame to the family, the girl leaps out of bed wearing only the bedsheets and runs away in tears. The sound of her bawling echoes throughout the palace corridors, and it is matched in volume only by your voice as you discipline your son.
EVTOPTA_REP_163	You are not to see her again!	You are not to see her again!
EVTNAME_REP_164	Never Was a Story of More Woe...	Never Was a Story of More Woe...
EVTDESC_REP_164	You are eating supper when the doors to your palace's dining room suddenly fly open and [FromFrom.Father.GetTitledFirstName] storms inside, chased by your guards. "Where is he?" [FromFrom.Father.GetFirstName] demands, pounding his fist on the table. "Damn it, [Root.GetFirstName]! Where is my son?!" He slams a piece of paper on the table. "I expressly forbade him from having anything to do with that harlot daughter of yours, but today I found this note!"\n\nHe reads with a somber voice: "'Father, since you would deny me the love of my life and since...' etc, etc, '...my love and I have decided to end it all. Farewell.'" With a gasp, you push the table aside and rush up the stairs towards your daughter's room with [FromFrom.Father.GetFirstName] on your heels. There, embracing each other on the floor, the two lovers lie dead next to an empty bottle of poison...	You are eating supper when the doors to your palace's dining room suddenly fly open and [FromFrom.Father.GetTitledFirstName] storms inside, chased by your guards. "Where is he?" [FromFrom.Father.GetFirstName] demands, pounding his fist on the table. "Damn it, [Root.GetFirstName]! Where is my son?!" He slams a piece of paper on the table. "I expressly forbade him from having anything to do with that harlot daughter of yours, but today I found this note!"\n\nHe reads with a somber voice: "'Father, since you would deny me the love of my life and since...' etc, etc, '...my love and I have decided to end it all. Farewell.'" With a gasp, you push the table aside and rush up the stairs towards your daughter's room with [FromFrom.Father.GetFirstName] on your heels. There, embracing each other on the floor, the two lovers lie dead next to an empty bottle of poison...
EVTOPTA_REP_164	This feud has cost us everything... it has to end.	This feud has cost us everything... it has to end.
EVTOPTB_REP_164	Y-you killed her! My sweet daughter!	Y-you killed her! My sweet daughter!
EVTDESC_REP_165	You are eating supper when the doors to your palace's dining room suddenly fly open and [FromFrom.Father.GetTitledFirstName] storms inside, chased by your guards. "Where is she?" [FromFrom.Father.GetFirstName] demands, pounding his fist on the table. "Damn it, [Root.GetFirstName]! Where is my daughter?!" He slams a piece of paper on the table. "I expressly forbade her from having anything to do with that no-good son of yours, but today I found this note!"\n\nHe reads with a somber voice: "'Father, since you would deny me the love of my life and since...' etc, etc, '...my love and I have decided to end it all. Farewell.'" With a gasp, you push the table aside and rush up the stairs towards your son's room with [FromFrom.Father.GetFirstName] on your heels. There, embracing each other on the floor, the two lovers lie dead next to an empty bottle of poison...	You are eating supper when the doors to your palace's dining room suddenly fly open and [FromFrom.Father.GetTitledFirstName] storms inside, chased by your guards. "Where is she?" [FromFrom.Father.GetFirstName] demands, pounding his fist on the table. "Damn it, [Root.GetFirstName]! Where is my daughter?!" He slams a piece of paper on the table. "I expressly forbade her from having anything to do with that no-good son of yours, but today I found this note!"\n\nHe reads with a somber voice: "'Father, since you would deny me the love of my life and since...' etc, etc, '...my love and I have decided to end it all. Farewell.'" With a gasp, you push the table aside and rush up the stairs towards your son's room with [FromFrom.Father.GetFirstName] on your heels. There, embracing each other on the floor, the two lovers lie dead next to an empty bottle of poison...
EVTOPTB_REP_165	Y-you killed him! My poor boy!	Y-you killed him! My poor boy!
EVTNAME_REP_166	Wedding Bells	Wedding Bells
EVTDESC_REP_166	It is a day of joyous celebration! Despite the bitter rivalry between the [Root.GetOnlyDynastyName] and [FromFrom.GetOnlyDynastyName] families, love found a way to bridge that gap and bring a young couple together. You decided not to intervene, and it seems [FromFrom.Father.GetTitledFirstName] shared your sentiments and gave his blessings to the couple. Today they are joined in the sacred union of marriage.\n\nThis will hopefully be the start of a lasting peace between your families, and a new era of friendship. As the ceremony is completed and the festivities commence, you and [FromFrom.Father.GetFirstName] shake hands and share some wine together.	It is a day of joyous celebration! Despite the bitter rivalry between the [Root.GetOnlyDynastyName] and [FromFrom.GetOnlyDynastyName] families, love found a way to bridge that gap and bring a young couple together. You decided not to intervene, and it seems [FromFrom.Father.GetTitledFirstName] shared your sentiments and gave his blessings to the couple. Today they are joined in the sacred union of marriage.\n\nThis will hopefully be the start of a lasting peace between your families, and a new era of friendship. As the ceremony is completed and the festivities commence, you and [FromFrom.Father.GetFirstName] shake hands and share some wine together.
EVTOPTA_REP_166	A toast to the continued prosperity of our two families!	A toast to the continued prosperity of our two families!
EVTNAME_REP_168	Two Funerals and a Truce	Two Funerals and a Truce
EVTDESC_REP_168	The [Root.GetOnlyDynastyName] and the [From.GetOnlyDynastyName] families have come together on this day to mourn the recent loss of their two children. Yet amidst all the gloom there is a glimmer of hope for the future. You and [From.GetTitledFirstName] are meeting with all the ranking members of your two respective houses.\n\nTogether you have decided to finally end the bitter feud that has been raging longer than anyone can remember. It may be too late for your closest kin, but future generations of [Root.GetOnlyDynastyName] and [From.GetOnlyDynastyName] children will no longer grow up seeing each other as mortal enemies.	The [Root.GetOnlyDynastyName] and the [From.GetOnlyDynastyName] families have come together on this day to mourn the recent loss of their two children. Yet amidst all the gloom there is a glimmer of hope for the future. You and [From.GetTitledFirstName] are meeting with all the ranking members of your two respective houses.\n\nTogether you have decided to finally end the bitter feud that has been raging longer than anyone can remember. It may be too late for your closest kin, but future generations of [Root.GetOnlyDynastyName] and [From.GetOnlyDynastyName] children will no longer grow up seeing each other as mortal enemies.
EVTOPTA_REP_168	Let us never forget this day.	Let us never forget this day.
EVTNAME_REP_182	The Smugglers of [Root.MercRepCapital.GetName]	The Smugglers of [Root.MercRepCapital.GetName]
EVTDESC_REP_182	You have long suspected that the dastardly [FromFrom.GetOnlyDynastyName] family are smuggling illegal goods into [Root.MercRepCapital.GetName], but now you have finally managed to confirm it through your sources. You have no proof, of course - [FromFrom.GetTitledFirstName] is too clever for that. As you contemplate your options in your study, your son [From.GetFirstName] enters and presents a plan.\n\nHe has learned that a [FromFrom.GetOnlyDynastyName] smuggler is due to arrive in [Root.MercRepCapital.GetName] tomorrow night with a full hold. Together with some trusted men, he will lie in wait and seize the cargo as soon as the ship moors at the dock. The [FromFrom.GetOnlyDynastyName] smugglers won't know what hit them, and even if [FromFrom.GetFirstName] learns the truth, he won't be able to act against you without revealing the smuggling activities of his house. You could profit greatly by selling the smuggled goods...	You have long suspected that the dastardly [FromFrom.GetOnlyDynastyName] family are smuggling illegal goods into [Root.MercRepCapital.GetName], but now you have finally managed to confirm it through your sources. You have no proof, of course - [FromFrom.GetTitledFirstName] is too clever for that. As you contemplate your options in your study, your son [From.GetFirstName] enters and presents a plan.\n\nHe has learned that a [FromFrom.GetOnlyDynastyName] smuggler is due to arrive in [Root.MercRepCapital.GetName] tomorrow night with a full hold. Together with some trusted men, he will lie in wait and seize the cargo as soon as the ship moors at the dock. The [FromFrom.GetOnlyDynastyName] smugglers won't know what hit them, and even if [FromFrom.GetFirstName] learns the truth, he won't be able to act against you without revealing the smuggling activities of his house. You could profit greatly by selling the smuggled goods...
EVTOPTA_REP_182	An excellent plan, [From.GetFirstName]. I am proud of you.	An excellent plan, [From.GetFirstName]. I am proud of you.
EVTOPTB_REP_182	No, it is too risky.	No, it is too risky.
EVTNAME_REP_185	The Only Good Smuggler...	The Only Good Smuggler...
EVTDESC_REP_185	As night falls over the docks of [Root.MercRepCapital.GetName], the smugglers quietly slip into port with their galley. They leave their lanterns unlit and skillfully rely on the moonlight to guide them in.\n\nWithout warning, masked men wearing dark robes suddenly leap onboard as the ship moors at the dock. Daggers glint in the moonlight and arrows whistle through the air. Soon five dead smugglers are floating with their faces down in the murky water below the docks, and the galley and its cargo, now under the command of [From.GetFirstName], slips away towards a [Root.GetOnlyDynastyName] port.	As night falls over the docks of [Root.MercRepCapital.GetName], the smugglers quietly slip into port with their galley. They leave their lanterns unlit and skillfully rely on the moonlight to guide them in.\n\nWithout warning, masked men wearing dark robes suddenly leap onboard as the ship moors at the dock. Daggers glint in the moonlight and arrows whistle through the air. Soon five dead smugglers are floating with their faces down in the murky water below the docks, and the galley and its cargo, now under the command of [From.GetFirstName], slips away towards a [Root.GetOnlyDynastyName] port.
EVTOPTA_REP_185	Well done, my boy!	Well done, my boy!
EVTNAME_REP_186	The Ultimate Sacrifice	The Ultimate Sacrifice
EVTDESC_REP_186	You are drawn to your balcony in the middle of the night by someone calling your name. A group of riders with torches are standing just outside the walls of your palace, and you recognize [FromFrom.GetTitledFirstName] among them. In front of them, with his hands tied behind his back, stands [From.GetFirstName]. "One of my ships had a visit from some of your men, [Root.GetFirstName]," [FromFrom.GetFirstName] calls out. "They have all been dealt with, but I want a little something for the effort I spent tracking down your whelp."\n\nYour son pulls free from the riders, and shouts up at you: "Don't do it, father! Don't trust these [FromFrom.GetOnlyDynastyName] bastards!" [FromFrom.GetFirstName] knocks [From.GetFirstName] to the ground with the pommel of his sword. "Give me what I want, [Root.GetFirstName], and your boy will live. Otherwise..." He levels his sword at your son's head.	You are drawn to your balcony in the middle of the night by someone calling your name. A group of riders with torches are standing just outside the walls of your palace, and you recognize [FromFrom.GetTitledFirstName] among them. In front of them, with his hands tied behind his back, stands [From.GetFirstName]. "One of my ships had a visit from some of your men, [Root.GetFirstName]," [FromFrom.GetFirstName] calls out. "They have all been dealt with, but I want a little something for the effort I spent tracking down your whelp."\n\nYour son pulls free from the riders, and shouts up at you: "Don't do it, father! Don't trust these [FromFrom.GetOnlyDynastyName] bastards!" [FromFrom.GetFirstName] knocks [From.GetFirstName] to the ground with the pommel of his sword. "Give me what I want, [Root.GetFirstName], and your boy will live. Otherwise..." He levels his sword at your son's head.
EVTOPTA_REP_186	I don't have that kind of money, damn you!	I don't have that kind of money, damn you!
EVTOPTB_REP_186	You'll have your money! Just let [From.GetFirstName] go!	You'll have your money! Just let [From.GetFirstName] go!
EVTOPTC_REP_186	Be proud, my son. Chin up. Show these dogs how a [Root.GetOnlyDynastyName] dies.	Be proud, my son. Chin up. Show these dogs how a [Root.GetOnlyDynastyName] dies.
EVTNAME_REP_191	The Right of Way	The Right of Way
